phase_order,phase,agent_b_llm_size,agent_a_type,agent_b_model,source_run,condition_id,run_type,scenario_key,persona_key,speech_pattern_key,tts_engine,asr_engine,task_success,route_valid,constraint_satisfaction,failure_phase,metric_key,metric_label,value,unit,range_min,range_max,higher_is_better,formula,operands_json
7,nlg,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,nlg_agent_a_guard_intervention_rate,share of model-backed Agent A deliveries replaced by its deterministic policy guard,1.0,ratio_or_score,0.0,1.0,True,Agent A deterministic guard deliveries / Agent A model-backed deliveries,"{""agent_b_messages"": 9, ""agent_b_words"": 211, ""candidate_routes"": 5}"
7,nlg,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,nlg_agent_b_guard_intervention_rate,share of model-backed Agent B deliveries replaced by its deterministic route guard,0.875,ratio_or_score,0.0,1.0,True,Agent B deterministic guard deliveries / Agent B model-backed deliveries,"{""agent_b_messages"": 9, ""agent_b_words"": 211, ""candidate_routes"": 5}"
7,nlg,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,nlg_bleu,BLEU,0.8974,ratio_or_score,0.0,1.0,True,deterministic derivation from the recorded pipeline trace,"{""agent_b_messages"": 9, ""agent_b_words"": 211, ""candidate_routes"": 5}"
7,nlg,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,nlg_conciseness,Conciseness,1.0,ratio_or_score,0.0,1.0,True,deterministic derivation from the recorded pipeline trace,"{""agent_b_messages"": 9, ""agent_b_words"": 211, ""candidate_routes"": 5}"
7,nlg,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,nlg_constraint_mention_precision,Constraint Mention Precision,1.0,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""agent_b_messages"": 9, ""agent_b_words"": 211, ""candidate_routes"": 5}"
7,nlg,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,nlg_constraint_mention_recall,Constraint Mention Recall,1.0,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""agent_b_messages"": 9, ""agent_b_words"": 211, ""candidate_routes"": 5}"
7,nlg,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,nlg_constraint_satisfaction_rate,Constraint Satisfaction Rate,1.0,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""agent_b_messages"": 9, ""agent_b_words"": 211, ""candidate_routes"": 5}"
7,nlg,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,nlg_distinct_1,Distinct-1,0.3697,ratio_or_score,0.0,1.0,True,deterministic derivation from the recorded pipeline trace,"{""agent_b_messages"": 9, ""agent_b_words"": 211, ""candidate_routes"": 5}"
7,nlg,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,nlg_distinct_2,Distinct-2,0.6714,ratio_or_score,0.0,1.0,True,deterministic derivation from the recorded pipeline trace,"{""agent_b_messages"": 9, ""agent_b_words"": 211, ""candidate_routes"": 5}"
7,nlg,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,nlg_estimated_spoken_duration,Estimated Spoken Duration,57.5455,ratio_or_score,0.0,1.0,True,arithmetic aggregation of captured timing values,"{""agent_b_messages"": 9, ""agent_b_words"": 211, ""candidate_routes"": 5}"
7,nlg,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,nlg_excess_verbosity_rate,Excess Verbosity Rate,0.0,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""agent_b_messages"": 9, ""agent_b_words"": 211, ""candidate_routes"": 5}"
