sequence,condition_id,pair_id,run_type,pair_role,test_case_key,scenario_key,task_profile_key,start_station,destination_stations,start_time_min,persona_key,persona_name,persona_description,agent_a_type,agent_a_audio_persona,agent_b_plugin,agent_b_model,agent_b_audio_persona,objective_mode,model_param_key,speech_pattern_key,configured_tts_engine,effective_tts_engine,configured_asr_engine,effective_asr_engine,iteration,network_seed,asr_beam_size,speech_performance_band,speech_performance_rank,channel_noise_snr_db,channel_gain_db,channel_clip_threshold,channel_dropout_rate,agent_b_llm_size,agent_b_model_role,matrix_family,ticket_modes,max_walking_min,max_delay_probability,max_transfer_miss_probability,persona_preferences_json,scenario_configuration_json,parameter_values_json,changed_from_previous_count,changed_from_previous,paired_condition_sequence,paired_difference_count,paired_differences
1,C-MPCC-FC-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-acf3050f22-T,P-acf3050f22,text_only,text control,morning_peak_cross_city,morning_peak_cross_city,morning_focused,Bravo,Harbor,487,focused_commuter,Focused commuter,"Direct, time-conscious, practical.",userlm,high_clarity_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/small2-qwen2.5-1.5b,clear_operator,shortest_valid_route_with_constraints,greedy,clean,piper,file,faster_whisper,file,0,29,1,custom,,,,,,small,model_comparison,agent_b_llm_comparison_v1,"metro, tram",10,,,"{""fullness"": ""does not mind fuller trains"", ""max_walking_min"": 10, ""priority"": ""fastest route first"", ""switching"": ""accepts line changes for a faster route"", ""ticket_modes"": [""metro"", ""tram""]}","{""acceptable_duration_ratio"": 1.5, ""allow_unreachable"": false, ""destination_station"": ""Harbor"", ""destination_stations"": [""Harbor""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.45, ""max_transfer_miss_probability"": 0.3, ""min_stage_suboptimal_options"": 1, ""name"": ""Morning peak cross-city evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Bravo"", ""start_time_min"": 487, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""small"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 1, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 29, ""profile_key"": ""default"", ""task_profile_key"": ""morning_focused""}",0,first condition,2,3,run_type; effective_tts_engine; effective_asr_engine
2,C-MPCC-FC-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-acf3050f22-A,P-acf3050f22,audio_variant,speech treatment,morning_peak_cross_city,morning_peak_cross_city,morning_focused,Bravo,Harbor,487,focused_commuter,Focused commuter,"Direct, time-conscious, practical.",userlm,high_clarity_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/small2-qwen2.5-1.5b,clear_operator,shortest_valid_route_with_constraints,greedy,clean,piper,piper,faster_whisper,faster_whisper,0,29,1,custom,,,,,,small,model_comparison,agent_b_llm_comparison_v1,"metro, tram",10,,,"{""fullness"": ""does not mind fuller trains"", ""max_walking_min"": 10, ""priority"": ""fastest route first"", ""switching"": ""accepts line changes for a faster route"", ""ticket_modes"": [""metro"", ""tram""]}","{""acceptable_duration_ratio"": 1.5, ""allow_unreachable"": false, ""destination_station"": ""Harbor"", ""destination_stations"": [""Harbor""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.45, ""max_transfer_miss_probability"": 0.3, ""min_stage_suboptimal_options"": 1, ""name"": ""Morning peak cross-city evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Bravo"", ""start_time_min"": 487, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""small"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 1, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 29, ""profile_key"": ""default"", ""task_profile_key"": ""morning_focused""}",3,run_type; effective_tts_engine; effective_asr_engine,1,3,run_type; effective_tts_engine; effective_asr_engine
3,C-MPCC-FC-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-5142576e57-T,P-5142576e57,text_only,text control,morning_peak_cross_city,morning_peak_cross_city,morning_focused,Bravo,Harbor,487,focused_commuter,Focused commuter,"Direct, time-conscious, practical.",userlm,hesitant_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/small2-qwen2.5-1.5b,degraded_operator,shortest_valid_route_with_constraints,greedy,hesitant,piper,file,faster_whisper,file,0,42,6,custom,,,,,,small,model_comparison,agent_b_llm_comparison_v1,"metro, tram",10,,,"{""fullness"": ""does not mind fuller trains"", ""max_walking_min"": 10, ""priority"": ""fastest route first"", ""switching"": ""accepts line changes for a faster route"", ""ticket_modes"": [""metro"", ""tram""]}","{""acceptable_duration_ratio"": 1.5, ""allow_unreachable"": false, ""destination_station"": ""Harbor"", ""destination_stations"": [""Harbor""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.45, ""max_transfer_miss_probability"": 0.3, ""min_stage_suboptimal_options"": 1, ""name"": ""Morning peak cross-city evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Bravo"", ""start_time_min"": 487, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""small"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 6, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 42, ""profile_key"": ""default"", ""task_profile_key"": ""morning_focused""}",9,run_type; agent_a_audio_persona; agent_b_audio_persona; speech_pattern_key; effective_tts_engine; effective_asr_engine; network_seed; asr_beam_size; parameter_values_json,4,3,run_type; effective_tts_engine; effective_asr_engine
4,C-MPCC-FC-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-5142576e57-A,P-5142576e57,audio_variant,speech treatment,morning_peak_cross_city,morning_peak_cross_city,morning_focused,Bravo,Harbor,487,focused_commuter,Focused commuter,"Direct, time-conscious, practical.",userlm,hesitant_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/small2-qwen2.5-1.5b,degraded_operator,shortest_valid_route_with_constraints,greedy,hesitant,piper,piper,faster_whisper,faster_whisper,0,42,6,custom,,,,,,small,model_comparison,agent_b_llm_comparison_v1,"metro, tram",10,,,"{""fullness"": ""does not mind fuller trains"", ""max_walking_min"": 10, ""priority"": ""fastest route first"", ""switching"": ""accepts line changes for a faster route"", ""ticket_modes"": [""metro"", ""tram""]}","{""acceptable_duration_ratio"": 1.5, ""allow_unreachable"": false, ""destination_station"": ""Harbor"", ""destination_stations"": [""Harbor""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.45, ""max_transfer_miss_probability"": 0.3, ""min_stage_suboptimal_options"": 1, ""name"": ""Morning peak cross-city evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Bravo"", ""start_time_min"": 487, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""small"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 6, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 42, ""profile_key"": ""default"", ""task_profile_key"": ""morning_focused""}",3,run_type; effective_tts_engine; effective_asr_engine,3,3,run_type; effective_tts_engine; effective_asr_engine
5,C-MPCC-FC-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-df1b4b45a4-T,P-df1b4b45a4,text_only,text control,morning_peak_cross_city,morning_peak_cross_city,morning_focused,Bravo,Harbor,487,focused_commuter,Focused commuter,"Direct, time-conscious, practical.",userlm,high_clarity_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/small2-qwen2.5-1.5b,degraded_operator,shortest_valid_route_with_constraints,greedy,noisy_station,piper,file,faster_whisper,file,0,42,1,custom,,,,,,small,model_comparison,agent_b_llm_comparison_v1,"metro, tram",10,,,"{""fullness"": ""does not mind fuller trains"", ""max_walking_min"": 10, ""priority"": ""fastest route first"", ""switching"": ""accepts line changes for a faster route"", ""ticket_modes"": [""metro"", ""tram""]}","{""acceptable_duration_ratio"": 1.5, ""allow_unreachable"": false, ""destination_station"": ""Harbor"", ""destination_stations"": [""Harbor""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.45, ""max_transfer_miss_probability"": 0.3, ""min_stage_suboptimal_options"": 1, ""name"": ""Morning peak cross-city evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Bravo"", ""start_time_min"": 487, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""small"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 1, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 42, ""profile_key"": ""default"", ""task_profile_key"": ""morning_focused""}",7,run_type; agent_a_audio_persona; speech_pattern_key; effective_tts_engine; effective_asr_engine; asr_beam_size; parameter_values_json,6,3,run_type; effective_tts_engine; effective_asr_engine
6,C-MPCC-FC-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-df1b4b45a4-A,P-df1b4b45a4,audio_variant,speech treatment,morning_peak_cross_city,morning_peak_cross_city,morning_focused,Bravo,Harbor,487,focused_commuter,Focused commuter,"Direct, time-conscious, practical.",userlm,high_clarity_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/small2-qwen2.5-1.5b,degraded_operator,shortest_valid_route_with_constraints,greedy,noisy_station,piper,piper,faster_whisper,faster_whisper,0,42,1,custom,,,,,,small,model_comparison,agent_b_llm_comparison_v1,"metro, tram",10,,,"{""fullness"": ""does not mind fuller trains"", ""max_walking_min"": 10, ""priority"": ""fastest route first"", ""switching"": ""accepts line changes for a faster route"", ""ticket_modes"": [""metro"", ""tram""]}","{""acceptable_duration_ratio"": 1.5, ""allow_unreachable"": false, ""destination_station"": ""Harbor"", ""destination_stations"": [""Harbor""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.45, ""max_transfer_miss_probability"": 0.3, ""min_stage_suboptimal_options"": 1, ""name"": ""Morning peak cross-city evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Bravo"", ""start_time_min"": 487, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""small"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 1, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 42, ""profile_key"": ""default"", ""task_profile_key"": ""morning_focused""}",3,run_type; effective_tts_engine; effective_asr_engine,5,3,run_type; effective_tts_engine; effective_asr_engine
7,C-MT-DM-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-a6326b76fc-T,P-a6326b76fc,text_only,text control,midday_transfer,midday_transfer,midday_distracted,Echo,Zulu,738,distracted_multitasker,Distracted multitasker,Sometimes loses track and asks for repetition.,userlm,hesitant_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/small2-qwen2.5-1.5b,clear_operator,shortest_valid_route_with_constraints,greedy,clean,piper,file,faster_whisper,file,0,29,6,custom,,,,,,small,model_comparison,agent_b_llm_comparison_v1,"tram, bus",10,,,"{""fullness"": ""prefers less crowded trains"", ""max_walking_min"": 10, ""priority"": ""simple route first"", ""switching"": ""prefers fewer line changes"", ""ticket_modes"": [""tram"", ""bus""]}","{""acceptable_duration_ratio"": 1.5, ""allow_unreachable"": false, ""destination_station"": ""Zulu"", ""destination_stations"": [""Zulu""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.45, ""max_transfer_miss_probability"": 0.28, ""min_stage_suboptimal_options"": 1, ""name"": ""Midday transfer-heavy evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Echo"", ""start_time_min"": 738, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""small"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 6, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 29, ""profile_key"": ""default"", ""task_profile_key"": ""midday_distracted""}",21,run_type; test_case_key; scenario_key; task_profile_key; start_station; destination_stations; start_time_min; persona_key; persona_name; persona_description; agent_a_audio_persona; agent_b_audio_persona; speech_pattern_key; effective_tts_engine; effective_asr_engine; network_seed; asr_beam_size; ticket_modes; persona_preferences_json; scenario_configuration_json; parameter_values_json,8,3,run_type; effective_tts_engine; effective_asr_engine
8,C-MT-DM-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-a6326b76fc-A,P-a6326b76fc,audio_variant,speech treatment,midday_transfer,midday_transfer,midday_distracted,Echo,Zulu,738,distracted_multitasker,Distracted multitasker,Sometimes loses track and asks for repetition.,userlm,hesitant_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/small2-qwen2.5-1.5b,clear_operator,shortest_valid_route_with_constraints,greedy,clean,piper,piper,faster_whisper,faster_whisper,0,29,6,custom,,,,,,small,model_comparison,agent_b_llm_comparison_v1,"tram, bus",10,,,"{""fullness"": ""prefers less crowded trains"", ""max_walking_min"": 10, ""priority"": ""simple route first"", ""switching"": ""prefers fewer line changes"", ""ticket_modes"": [""tram"", ""bus""]}","{""acceptable_duration_ratio"": 1.5, ""allow_unreachable"": false, ""destination_station"": ""Zulu"", ""destination_stations"": [""Zulu""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.45, ""max_transfer_miss_probability"": 0.28, ""min_stage_suboptimal_options"": 1, ""name"": ""Midday transfer-heavy evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Echo"", ""start_time_min"": 738, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""small"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 6, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 29, ""profile_key"": ""default"", ""task_profile_key"": ""midday_distracted""}",3,run_type; effective_tts_engine; effective_asr_engine,7,3,run_type; effective_tts_engine; effective_asr_engine
9,C-MT-DM-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-05c07e7d2f-T,P-05c07e7d2f,text_only,text control,midday_transfer,midday_transfer,midday_distracted,Echo,Zulu,738,distracted_multitasker,Distracted multitasker,Sometimes loses track and asks for repetition.,userlm,high_clarity_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/small2-qwen2.5-1.5b,clear_operator,shortest_valid_route_with_constraints,greedy,hesitant,piper,file,faster_whisper,file,0,42,1,custom,,,,,,small,model_comparison,agent_b_llm_comparison_v1,"tram, bus",10,,,"{""fullness"": ""prefers less crowded trains"", ""max_walking_min"": 10, ""priority"": ""simple route first"", ""switching"": ""prefers fewer line changes"", ""ticket_modes"": [""tram"", ""bus""]}","{""acceptable_duration_ratio"": 1.5, ""allow_unreachable"": false, ""destination_station"": ""Zulu"", ""destination_stations"": [""Zulu""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.45, ""max_transfer_miss_probability"": 0.28, ""min_stage_suboptimal_options"": 1, ""name"": ""Midday transfer-heavy evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Echo"", ""start_time_min"": 738, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""small"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 1, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 42, ""profile_key"": ""default"", ""task_profile_key"": ""midday_distracted""}",8,run_type; agent_a_audio_persona; speech_pattern_key; effective_tts_engine; effective_asr_engine; network_seed; asr_beam_size; parameter_values_json,10,3,run_type; effective_tts_engine; effective_asr_engine
10,C-MT-DM-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-05c07e7d2f-A,P-05c07e7d2f,audio_variant,speech treatment,midday_transfer,midday_transfer,midday_distracted,Echo,Zulu,738,distracted_multitasker,Distracted multitasker,Sometimes loses track and asks for repetition.,userlm,high_clarity_caller,llm,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/.model-providers/agent_b/linux/transformers/small2-qwen2.5-1.5b,clear_operator,shortest_valid_route_with_constraints,greedy,hesitant,piper,piper,faster_whisper,faster_whisper,0,42,1,custom,,,,,,small,model_comparison,agent_b_llm_comparison_v1,"tram, bus",10,,,"{""fullness"": ""prefers less crowded trains"", ""max_walking_min"": 10, ""priority"": ""simple route first"", ""switching"": ""prefers fewer line changes"", ""ticket_modes"": [""tram"", ""bus""]}","{""acceptable_duration_ratio"": 1.5, ""allow_unreachable"": false, ""destination_station"": ""Zulu"", ""destination_stations"": [""Zulu""], ""goal"": ""fastest_route"", ""max_delay_probability"": 0.45, ""max_transfer_miss_probability"": 0.28, ""min_stage_suboptimal_options"": 1, ""name"": ""Midday transfer-heavy evaluation"", ""require_constraint_route_changes"": true, ""require_stage_suboptimal_options"": true, ""start_station"": ""Echo"", ""start_time_min"": 738, ""transfer_time_min"": 2}","{""agent_b_llm_size"": ""small"", ""agent_b_model_role"": ""model_comparison"", ""asr_beam_size"": 1, ""experiment_platform"": ""windows"", ""matrix_family"": ""agent_b_llm_comparison_v1"", ""network_seed"": 42, ""profile_key"": ""default"", ""task_profile_key"": ""midday_distracted""}",3,run_type; effective_tts_engine; effective_asr_engine,9,3,run_type; effective_tts_engine; effective_asr_engine
