phase_order,phase,agent_b_llm_size,agent_a_type,agent_b_model,source_run,condition_id,run_type,scenario_key,persona_key,speech_pattern_key,tts_engine,asr_engine,task_success,route_valid,constraint_satisfaction,failure_phase,metric_key,metric_label,value,unit,range_min,range_max,higher_is_better,formula,operands_json
10,whole_dialogue,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,whole_dialogue_abandonment_rate,Abandonment Rate,0.0,ratio_or_score,0.0,1.0,False,eligible successful observations / eligible observations,"{""clarification_requests"": 1, ""clarifications_resolved"": 0, ""corrected_tokens"": 0, ""correction_turns"": 0, ""first_deviation_phase"": ""asr"", ""first_deviation_turn"": 1, ""messages"": 19, ""reference_words"": 378, ""repair_attempts"": 1, ""runtime_seconds"": 543.614, ""speech_turns"": 19, ""words"": 377}"
10,whole_dialogue,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,whole_dialogue_agent_a_task_focus_score,Agent A Task-Focus Score,0.0361,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""clarification_requests"": 1, ""clarifications_resolved"": 0, ""corrected_tokens"": 0, ""correction_turns"": 0, ""first_deviation_phase"": ""asr"", ""first_deviation_turn"": 1, ""messages"": 19, ""reference_words"": 378, ""repair_attempts"": 1, ""runtime_seconds"": 543.614, ""speech_turns"": 19, ""words"": 377}"
10,whole_dialogue,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,whole_dialogue_agent_b_task_focus_score,Agent B Task-Focus Score,0.0806,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""clarification_requests"": 1, ""clarifications_resolved"": 0, ""corrected_tokens"": 0, ""correction_turns"": 0, ""first_deviation_phase"": ""asr"", ""first_deviation_turn"": 1, ""messages"": 19, ""reference_words"": 378, ""repair_attempts"": 1, ""runtime_seconds"": 543.614, ""speech_turns"": 19, ""words"": 377}"
10,whole_dialogue,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,whole_dialogue_candidate_count,Candidate Count,5.0,count,,,True,count of matching trace events,"{""clarification_requests"": 1, ""clarifications_resolved"": 0, ""corrected_tokens"": 0, ""correction_turns"": 0, ""first_deviation_phase"": ""asr"", ""first_deviation_turn"": 1, ""messages"": 19, ""reference_words"": 378, ""repair_attempts"": 1, ""runtime_seconds"": 543.614, ""speech_turns"": 19, ""words"": 377}"
10,whole_dialogue,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,whole_dialogue_clarification_count,Clarification Count,1.0,count,,,True,count of matching trace events,"{""clarification_requests"": 1, ""clarifications_resolved"": 0, ""corrected_tokens"": 0, ""correction_turns"": 0, ""first_deviation_phase"": ""asr"", ""first_deviation_turn"": 1, ""messages"": 19, ""reference_words"": 378, ""repair_attempts"": 1, ""runtime_seconds"": 543.614, ""speech_turns"": 19, ""words"": 377}"
10,whole_dialogue,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,whole_dialogue_conversation_repetition_rate,Conversation Repetition Rate,0.3286,ratio_or_score,0.0,1.0,False,eligible successful observations / eligible observations,"{""clarification_requests"": 1, ""clarifications_resolved"": 0, ""corrected_tokens"": 0, ""correction_turns"": 0, ""first_deviation_phase"": ""asr"", ""first_deviation_turn"": 1, ""messages"": 19, ""reference_words"": 378, ""repair_attempts"": 1, ""runtime_seconds"": 543.614, ""speech_turns"": 19, ""words"": 377}"
10,whole_dialogue,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,whole_dialogue_cooperative_progress_rate,Cooperative Progress Rate,0.2632,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""clarification_requests"": 1, ""clarifications_resolved"": 0, ""corrected_tokens"": 0, ""correction_turns"": 0, ""first_deviation_phase"": ""asr"", ""first_deviation_turn"": 1, ""messages"": 19, ""reference_words"": 378, ""repair_attempts"": 1, ""runtime_seconds"": 543.614, ""speech_turns"": 19, ""words"": 377}"
10,whole_dialogue,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,whole_dialogue_corrected_token_rate,Corrected-Token Rate,0.0,ratio_or_score,0.0,1.0,True,corrected source tokens / recognized reference words,"{""clarification_requests"": 1, ""clarifications_resolved"": 0, ""corrected_tokens"": 0, ""correction_turns"": 0, ""first_deviation_phase"": ""asr"", ""first_deviation_turn"": 1, ""messages"": 19, ""reference_words"": 378, ""repair_attempts"": 1, ""runtime_seconds"": 543.614, ""speech_turns"": 19, ""words"": 377}"
10,whole_dialogue,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,whole_dialogue_correction_turn_rate,Correction-Turn Rate,0.0,ratio_or_score,0.0,1.0,True,turns containing transparent transcript corrections / speech turns,"{""clarification_requests"": 1, ""clarifications_resolved"": 0, ""corrected_tokens"": 0, ""correction_turns"": 0, ""first_deviation_phase"": ""asr"", ""first_deviation_turn"": 1, ""messages"": 19, ""reference_words"": 378, ""repair_attempts"": 1, ""runtime_seconds"": 543.614, ""speech_turns"": 19, ""words"": 377}"
10,whole_dialogue,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,whole_dialogue_dialogue_cost,Dialogue Cost,19.0,ratio_or_score,0.0,1.0,False,number of dialogue messages,"{""clarification_requests"": 1, ""clarifications_resolved"": 0, ""corrected_tokens"": 0, ""correction_turns"": 0, ""first_deviation_phase"": ""asr"", ""first_deviation_turn"": 1, ""messages"": 19, ""reference_words"": 378, ""repair_attempts"": 1, ""runtime_seconds"": 543.614, ""speech_turns"": 19, ""words"": 377}"
