source_run,source_path,condition_id,condition_state,run_type,pair_id,model_comparison_condition_key,scenario_key,persona_key,speech_pattern_key,speech_performance_band,agent_a_type,agent_a_audio_persona,agent_b_audio_persona,agent_b_model,agent_b_llm_size,agent_b_model_role,model_param_key,objective_mode,iteration,tts_engine,asr_engine,asr_beam_size,network_seed,transfer_tolerance,dialogue_stagnation_limit,outcome,task_success,stop_reason,route_valid,destination_reached,route_duration_min,duration_limit_min,optimal_duration_min,duration_gap_min,constraints_satisfied,constraints_total,candidates_compared,route_revisions,turn_count,runtime_sec,selected_route,optimal_route,source_event_file
20260713_114303_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_114303_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-Q05-PAD-SML-I0-5b3215afe2-T,completed,text_only,P-5b3215afe2,MC-8b8f51ff4a72,late_event,multi_stop_errand_runner,clean,ceiling,userlm,high_clarity_caller,high_clarity_operator,Qwen2.5-0.5B-Instruct,small,pressure_small_qwen,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,16,42,,,satisfied,True,agent_a_closed,True,True,34.0,50.0,34.0,0.0,3,3,4.0,0.0,11.0,658.47,"Kilo (T1 : Juliett) -> India (M1 : Hotel, Golf, Foxtrot) -> Jasper","Kilo (B1 : Hotel, Golf) -> Foxtrot (M1) -> Jasper",/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_114303_b-n0001/runtime_events.jsonl
20260713_114700_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_114700_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-Q05-PAD-SML-I0-5b3215afe2-T,completed,text_only,P-5b3215afe2,MC-8b8f51ff4a72,late_event,multi_stop_errand_runner,clean,ceiling,userlm,high_clarity_caller,high_clarity_operator,Qwen2.5-0.5B-Instruct,small,pressure_small_qwen,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,16,42,,,satisfied,True,agent_a_closed,True,True,34.0,50.0,34.0,0.0,3,3,4.0,0.0,11.0,662.79,"Kilo (T1 : Juliett) -> India (M1 : Hotel, Golf, Foxtrot) -> Jasper","Kilo (B1 : Hotel, Golf) -> Foxtrot (M1) -> Jasper",/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_114700_b-n0001/runtime_events.jsonl
20260713_115715_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_115715_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-Q05-PAD-SML-I0-5b3215afe2-A,completed,audio_variant,P-5b3215afe2,MC-89cbc30ccd79,late_event,multi_stop_errand_runner,clean,ceiling,userlm,high_clarity_caller,high_clarity_operator,Qwen2.5-0.5B-Instruct,small,pressure_small_qwen,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,16,42,,,satisfied,True,agent_a_closed,True,True,34.0,50.0,34.0,0.0,3,3,4.0,0.0,11.0,494.51,"Kilo (B1 : Hotel, Golf) -> Foxtrot (M1) -> Jasper","Kilo (B1 : Hotel, Golf) -> Foxtrot (M1) -> Jasper",/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_115715_b-n0001/runtime_events.jsonl
20260713_120154_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_120154_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-Q05-PAD-SML-I0-5b3215afe2-A,completed,audio_variant,P-5b3215afe2,MC-89cbc30ccd79,late_event,multi_stop_errand_runner,clean,ceiling,userlm,high_clarity_caller,high_clarity_operator,Qwen2.5-0.5B-Instruct,small,pressure_small_qwen,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,16,42,,,satisfied,True,agent_a_closed,True,True,34.0,50.0,34.0,0.0,3,3,4.0,0.0,11.0,655.7,"Kilo (B1 : Hotel, Golf) -> Foxtrot (M1) -> Jasper","Kilo (B1 : Hotel, Golf) -> Foxtrot (M1) -> Jasper",/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_120154_b-n0001/runtime_events.jsonl
20260713_120937_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_120937_b-n0001,C-HA-FC-HESIT-PIP-FWH-Q05-PTB-SML-I0-d59c41d375-T,completed,text_only,P-d59c41d375,MC-5fff8784a6e8,hospital_appointment,focused_commuter,hesitant,challenging,userlm,degraded_caller,degraded_operator,Qwen2.5-0.5B-Instruct,small,pressure_small_qwen,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,6,42,,,unsatisfied,False,turn_limit,True,True,34.0,46.0,31.0,3.0,3,3,4.0,0.0,8.0,327.01,"Alpha (T5 : Mike, Sierra, Yankee) -> Elm (T1 : Flint, Grove, Harbor) -> Ivy","Alpha (T5 : Mike, Sierra, Yankee) -> Elm (T4 : Flint, Grove, Harbor) -> Ivy",/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_120937_b-n0001/runtime_events.jsonl
20260713_121722_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_121722_b-n0001,C-HA-FC-HESIT-PIP-FWH-Q05-PTB-SML-I0-d59c41d375-T,completed,text_only,P-d59c41d375,MC-5fff8784a6e8,hospital_appointment,focused_commuter,hesitant,challenging,userlm,degraded_caller,degraded_operator,Qwen2.5-0.5B-Instruct,small,pressure_small_qwen,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,6,42,,,unsatisfied,False,turn_limit,True,True,34.0,46.0,31.0,3.0,3,3,4.0,0.0,8.0,427.53,"Alpha (T5 : Mike, Sierra, Yankee) -> Elm (T1 : Flint, Grove, Harbor) -> Ivy","Alpha (T5 : Mike, Sierra, Yankee) -> Elm (T4 : Flint, Grove, Harbor) -> Ivy",/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_121722_b-n0001/runtime_events.jsonl
20260713_121804_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_121804_b-n0001,C-HA-FC-HESIT-PIP-FWH-Q05-PTB-SML-I0-d59c41d375-A,completed,audio_variant,P-d59c41d375,MC-99f7ce5218a2,hospital_appointment,focused_commuter,hesitant,challenging,userlm,degraded_caller,degraded_operator,Qwen2.5-0.5B-Instruct,small,pressure_small_qwen,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,6,42,,,unsatisfied,False,turn_limit,True,True,34.0,46.0,31.0,3.0,3,3,4.0,0.0,8.0,394.11,"Alpha (T5 : Mike, Sierra, Yankee) -> Elm (T1 : Flint, Grove, Harbor) -> Ivy","Alpha (T5 : Mike, Sierra, Yankee) -> Elm (T4 : Flint, Grove, Harbor) -> Ivy",/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_121804_b-n0001/runtime_events.jsonl
20260713_122734_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_122734_b-n0001,C-HA-DST-CLEAN-PIP-FWH-Q05-PCC-SML-I0-f89fe48eac-T,completed,text_only,P-f89fe48eac,MC-201267f46eda,hospital_appointment,delay_sensitive_traveler,clean,ceiling,userlm,high_clarity_caller,high_clarity_operator,Qwen2.5-0.5B-Instruct,small,pressure_small_qwen,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,16,123,,,satisfied,True,agent_a_closed,True,True,29.0,43.0,29.0,0.0,3,3,4.0,0.0,11.0,416.64,"Alpha (T4 : Mike) -> Sierra (M1 : Yankee, Zulu, Aster, Birch, Cedar) -> Ivy","Alpha (T4 : Mike) -> Sierra (M1 : Yankee, Zulu, Aster, Birch, Cedar) -> Ivy",/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_122734_b-n0001/runtime_events.jsonl
20260713_122754_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_122754_b-n0001,C-HA-FC-HESIT-PIP-FWH-Q05-PTB-SML-I0-d59c41d375-A,completed,audio_variant,P-d59c41d375,MC-99f7ce5218a2,hospital_appointment,focused_commuter,hesitant,challenging,userlm,degraded_caller,degraded_operator,Qwen2.5-0.5B-Instruct,small,pressure_small_qwen,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,6,42,,,unsatisfied,False,turn_limit,True,True,34.0,46.0,31.0,3.0,3,3,4.0,0.0,8.0,510.54,"Alpha (T5 : Mike, Sierra, Yankee) -> Elm (T1 : Flint, Grove, Harbor) -> Ivy","Alpha (T5 : Mike, Sierra, Yankee) -> Elm (T4 : Flint, Grove, Harbor) -> Ivy",/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_122754_b-n0001/runtime_events.jsonl
20260713_123754_b-n0001,/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_123754_b-n0001,C-HA-DST-CLEAN-PIP-FWH-Q05-PCC-SML-I0-f89fe48eac-A,completed,audio_variant,P-f89fe48eac,MC-28bae469ea57,hospital_appointment,delay_sensitive_traveler,clean,ceiling,userlm,high_clarity_caller,high_clarity_operator,Qwen2.5-0.5B-Instruct,small,pressure_small_qwen,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,16,123,,,satisfied,True,agent_a_closed,True,True,29.0,43.0,29.0,0.0,3,3,3.0,0.0,11.0,457.82,"Alpha (T4 : Mike) -> Sierra (M1 : Yankee, Zulu, Aster, Birch, Cedar) -> Ivy","Alpha (T4 : Mike) -> Sierra (M1 : Yankee, Zulu, Aster, Birch, Cedar) -> Ivy",/beegfs/home/users/g/generalgroovy/experiments/CoopNavigationSDS/results/01-small-qwen2.5-0.5b/userlm/20260713_123754_b-n0001/runtime_events.jsonl
