model_comparison_condition_key,agent_a_type,scenario_key,persona_key,speech_pattern_key,run_type,tts_engine,asr_engine,asr_beam_size,network_seed,agent_a_audio_persona,agent_b_audio_persona,speech_performance_band,model_param_key,objective_mode,iteration,transfer_tolerance,dialogue_stagnation_limit,model_count,completed_model_count,successful_model_count,model::Qwen2.5-0.5B-Instruct::condition_state,model::Qwen2.5-0.5B-Instruct::task_success,model::Qwen2.5-0.5B-Instruct::route_valid,model::Qwen2.5-0.5B-Instruct::constraint_satisfaction,model::Qwen2.5-0.5B-Instruct::word_error_rate,model::Qwen2.5-0.5B-Instruct::turn_count,model::Qwen2.5-0.5B-Instruct::failure_phase,model::Qwen2.5-0.5B-Instruct::source_run,model::SmolLM2-360M-Instruct::condition_state,model::SmolLM2-360M-Instruct::task_success,model::SmolLM2-360M-Instruct::route_valid,model::SmolLM2-360M-Instruct::constraint_satisfaction,model::SmolLM2-360M-Instruct::word_error_rate,model::SmolLM2-360M-Instruct::turn_count,model::SmolLM2-360M-Instruct::failure_phase,model::SmolLM2-360M-Instruct::source_run,model::TinyLlama-1.1B-Chat-v1.0::condition_state,model::TinyLlama-1.1B-Chat-v1.0::task_success,model::TinyLlama-1.1B-Chat-v1.0::route_valid,model::TinyLlama-1.1B-Chat-v1.0::constraint_satisfaction,model::TinyLlama-1.1B-Chat-v1.0::word_error_rate,model::TinyLlama-1.1B-Chat-v1.0::turn_count,model::TinyLlama-1.1B-Chat-v1.0::failure_phase,model::TinyLlama-1.1B-Chat-v1.0::source_run,model::gemma-2-2b-it::condition_state,model::gemma-2-2b-it::task_success,model::gemma-2-2b-it::route_valid,model::gemma-2-2b-it::constraint_satisfaction,model::gemma-2-2b-it::word_error_rate,model::gemma-2-2b-it::turn_count,model::gemma-2-2b-it::failure_phase,model::gemma-2-2b-it::source_run,model::Phi-3-mini-4k-instruct::condition_state,model::Phi-3-mini-4k-instruct::task_success,model::Phi-3-mini-4k-instruct::route_valid,model::Phi-3-mini-4k-instruct::constraint_satisfaction,model::Phi-3-mini-4k-instruct::word_error_rate,model::Phi-3-mini-4k-instruct::turn_count,model::Phi-3-mini-4k-instruct::failure_phase,model::Phi-3-mini-4k-instruct::source_run,model::Qwen2.5-1.5B-Instruct::condition_state,model::Qwen2.5-1.5B-Instruct::task_success,model::Qwen2.5-1.5B-Instruct::route_valid,model::Qwen2.5-1.5B-Instruct::constraint_satisfaction,model::Qwen2.5-1.5B-Instruct::word_error_rate,model::Qwen2.5-1.5B-Instruct::turn_count,model::Qwen2.5-1.5B-Instruct::failure_phase,model::Qwen2.5-1.5B-Instruct::source_run,model::Qwen3-4B-Instruct-2507::condition_state,model::Qwen3-4B-Instruct-2507::task_success,model::Qwen3-4B-Instruct-2507::route_valid,model::Qwen3-4B-Instruct-2507::constraint_satisfaction,model::Qwen3-4B-Instruct-2507::word_error_rate,model::Qwen3-4B-Instruct-2507::turn_count,model::Qwen3-4B-Instruct-2507::failure_phase,model::Qwen3-4B-Instruct-2507::source_run,model::Mistral-7B-Instruct-v0.3::condition_state,model::Mistral-7B-Instruct-v0.3::task_success,model::Mistral-7B-Instruct-v0.3::route_valid,model::Mistral-7B-Instruct-v0.3::constraint_satisfaction,model::Mistral-7B-Instruct-v0.3::word_error_rate,model::Mistral-7B-Instruct-v0.3::turn_count,model::Mistral-7B-Instruct-v0.3::failure_phase,model::Mistral-7B-Instruct-v0.3::source_run,model::Qwen2.5-7B-Instruct::condition_state,model::Qwen2.5-7B-Instruct::task_success,model::Qwen2.5-7B-Instruct::route_valid,model::Qwen2.5-7B-Instruct::constraint_satisfaction,model::Qwen2.5-7B-Instruct::word_error_rate,model::Qwen2.5-7B-Instruct::turn_count,model::Qwen2.5-7B-Instruct::failure_phase,model::Qwen2.5-7B-Instruct::source_run
MC-03336a38f003,userlm,midday_transfer,focused_commuter,hesitant,audio_variant,piper,faster_whisper,6,42,degraded_caller,degraded_operator,challenging,temp0.7,shortest_valid_route_with_constraints,0,,,5,1,0,interrupted,,,,,,NameError,20260712_211607_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_203351_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_201047_b-n0001,completed,False,True,1.0,,13.0,,20260713_034050_b-n0001,,,,,,,,,,,,,,,,,interrupted,,,,,,NameError,20260712_182107_b-n0001_02
MC-0390d7f4eb99,userlm,multi_destination_errands,delay_sensitive_traveler,hesitant,text_only,piper,faster_whisper,6,123,degraded_caller,degraded_operator,challenging,greedy,shortest_valid_route_with_constraints,0,,,5,5,0,completed,False,True,,,14.0,,20260713_132612_b-n0001,,,,,,,,,completed,False,True,,,13.0,,20260713_132728_b-n0001,,,,,,,,,completed,False,True,,,13.0,,20260713_133328_b-n0001,completed,False,True,,,13.0,,20260713_130626_b-n0001,,,,,,,,,,,,,,,,,completed,False,True,,,13.0,,20260713_132322_b-n0001
MC-0f280284fe47,userlm,morning_peak_cross_city,delay_sensitive_traveler,hesitant,audio_variant,piper,vosk,6,42,degraded_caller,degraded_operator,challenging,nucleus0.9,shortest_valid_route_with_constraints,0,,,6,5,2,completed,False,True,1.0,,20.0,,20260710_202234_b-n0001,,,,,,,,,completed,False,True,1.0,,20.0,,20260710_224022_b-n0001,,,,,,,,,completed,True,True,1.0,,15.0,,20260711_161151_b-n0001,completed,False,True,1.0,,20.0,,20260713_025413_b-n0001,,,,,,,,,not_started,,,,,,,20260712_132254_b-n0001,completed,True,True,1.0,,15.0,,20260713_032701_b-n0001
MC-138af2c70782,userlm,morning_peak_cross_city,risk_averse_novice,mostly_clean,audio_variant,piper,vosk,11,42,neutral_caller,clear_operator,nominal,greedy,shortest_valid_route_with_constraints,0,,,6,4,3,completed,True,True,1.0,,15.0,,20260710_213212_b-n0001,,,,,,,,,completed,False,True,1.0,,20.0,,20260711_011136_b-n0001_02,,,,,,,,,completed,True,True,1.0,,13.0,,20260711_194755_b-n0001,completed,True,True,1.0,,15.0,,20260713_084030_b-n0001,,,,,,,,,not_started,,,,,,,20260712_135907_b-n0001,interrupted,,,,,,NameError,20260712_175943_b-n0001
MC-13bfb7225e9d,tinyllama,morning_peak_cross_city,focused_commuter,mostly_clean,text_only,piper,vosk,11,42,neutral_caller,clear_operator,nominal,greedy,shortest_valid_route_with_constraints,0,,,6,0,0,not_started,,,,,,,20260707_165903_b-n0001,,,,,,,,,not_started,,,,,,,20260707_163001_b-n0001,not_started,,,,,,,20260707_164101_b-n0001,not_started,,,,,,,20260707_164101_b-n0001,not_started,,,,,,,20260707_163633_b-n0001,not_started,,,,,,,20260707_164302_b-n0001,,,,,,,,,,,,,,,,
MC-146c7b7123c9,userlm,crowded_event_exit,focused_commuter,mostly_clean,audio_variant,piper,faster_whisper,11,123,neutral_caller,clear_operator,nominal,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_211721_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211824_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211932_b-n0001,not_started,,,,,,,20260713_211848_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211841_b-n0001
MC-15b6613f9e98,userlm,airport_connection,focused_commuter,severe_channel,text_only,piper,faster_whisper,1,77,barely_understandable_caller,barely_understandable_operator,floor,temp0.7,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_211343_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211413_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211446_b-n0001,not_started,,,,,,,20260713_211418_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211437_b-n0001_02
MC-189ee924f090,userlm,morning_peak_cross_city,focused_commuter,clean,text_only,piper,vosk,16,42,high_clarity_caller,high_clarity_operator,ceiling,greedy,shortest_valid_route_with_constraints,0,,,6,4,4,completed,True,True,1.0,,9.0,,20260711_123222_b-n0001,,,,,,,,,completed,True,True,1.0,,9.0,,20260711_020012_b-n0001,,,,,,,,,completed,True,True,1.0,,9.0,,20260711_195055_b-n0001,completed,True,True,1.0,,9.0,,20260713_132752_b-n0001,,,,,,,,,not_started,,,,,,,20260712_142015_b-n0001,not_started,,,,,,,20260713_133432_b-n0001
MC-1d038abe2ec2,userlm,crowded_event_exit,crowd_averse_rider,mostly_clean,audio_variant,piper,vosk,11,77,neutral_caller,clear_operator,nominal,greedy,shortest_valid_route_with_constraints,0,,,6,5,4,completed,True,True,1.0,,13.0,,20260710_205838_b-n0001,,,,,,,,,completed,True,True,1.0,,11.0,,20260710_230555_b-n0001,,,,,,,,,completed,True,True,1.0,,11.0,,20260711_172504_b-n0001,completed,False,True,1.0,,20.0,,20260713_045109_b-n0001,,,,,,,,,not_started,,,,,,,20260712_133459_b-n0001,completed,True,True,1.0,,13.0,,20260713_070001_b-n0001
MC-1e26475477cb,userlm,crowded_event_exit,risk_averse_novice,severe_channel,text_only,piper,vosk,1,77,barely_understandable_caller,barely_understandable_operator,floor,nucleus0.9,shortest_valid_route_with_constraints,0,,,6,5,5,completed,True,True,1.0,,15.0,,20260710_201032_b-n0001,,,,,,,,,completed,True,True,1.0,,15.0,,20260710_234729_b-n0001,,,,,,,,,completed,True,True,1.0,,15.0,,20260711_173105_b-n0001,completed,True,True,1.0,,17.0,,20260713_052316_b-n0001,,,,,,,,,not_started,,,,,,,20260712_133700_b-n0001,completed,True,True,1.0,,17.0,,20260713_075701_b-n0001
