source_run,source_path,run_state,agent_a_type,agent_b_model,agent_b_llm_size,tts_engines,asr_engines,planned_condition_count,observed_condition_count,completed_condition_count,interrupted_condition_count,not_started_condition_count,known_outcome_count,successful_condition_count,task_success_rate_completed,finalized_artifacts_available,interpretation
20260705_123702_b-n0026,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026,interrupted,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,26,18,17,1,8,17,17,1.0,False,runtime evidence ended during a condition
20260706_052055_b-n0026,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260706_052055_b-n0026,preflight_only,userlm,small2-qwen2.5-1.5b,small,piper,faster_whisper,26,0,0,0,26,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260706_052215_b-n0026,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\02-medium-phi3-mini\userlm\20260706_052215_b-n0026,preflight_only,userlm,mid2-phi3-mini,medium,piper,faster_whisper,26,0,0,0,26,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_165435_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\01-small-qwen2.5-0.5b\tinyllama\20260707_165435_b-n0001,preflight_only,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_165804_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\01-small-qwen2.5-0.5b\tinyllama\20260707_165804_b-n0001,preflight_only,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_165903_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\01-small-qwen2.5-0.5b\tinyllama\20260707_165903_b-n0001,preflight_only,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_170004_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\01-small-qwen2.5-0.5b\tinyllama\20260707_170004_b-n0001,preflight_only,tinyllama,Qwen2.5-0.5B-Instruct,small,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_165903_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\01-small-smollm2-360m\tinyllama\20260707_165903_b-n0001,preflight_only,tinyllama,SmolLM2-360M-Instruct,small,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_170003_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\01-small-smollm2-360m\tinyllama\20260707_170003_b-n0001,preflight_only,tinyllama,SmolLM2-360M-Instruct,small,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_162702_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\01-small-tinyllama-1.1b\tinyllama\20260707_162702_b-n0001,preflight_only,tinyllama,TinyLlama-1.1B-Chat-v1.0,small,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_162831_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\01-small-tinyllama-1.1b\tinyllama\20260707_162831_b-n0001,preflight_only,tinyllama,TinyLlama-1.1B-Chat-v1.0,small,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_163001_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\01-small-tinyllama-1.1b\tinyllama\20260707_163001_b-n0001,preflight_only,tinyllama,TinyLlama-1.1B-Chat-v1.0,small,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_163131_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\01-small-tinyllama-1.1b\tinyllama\20260707_163131_b-n0001,preflight_only,tinyllama,TinyLlama-1.1B-Chat-v1.0,small,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_165103_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\01-small-tinyllama-1.1b\tinyllama\20260707_165103_b-n0001,preflight_only,tinyllama,TinyLlama-1.1B-Chat-v1.0,small,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_165435_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\01-small-tinyllama-1.1b\tinyllama\20260707_165435_b-n0001,preflight_only,tinyllama,TinyLlama-1.1B-Chat-v1.0,small,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_165604_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\01-small-tinyllama-1.1b\tinyllama\20260707_165604_b-n0001,preflight_only,tinyllama,TinyLlama-1.1B-Chat-v1.0,small,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_165704_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\01-small-tinyllama-1.1b\tinyllama\20260707_165704_b-n0001,preflight_only,tinyllama,TinyLlama-1.1B-Chat-v1.0,small,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_163901_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\02-medium-gemma2-2b\tinyllama\20260707_163901_b-n0001,preflight_only,tinyllama,gemma-2-2b-it,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164001_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\02-medium-gemma2-2b\tinyllama\20260707_164001_b-n0001,preflight_only,tinyllama,gemma-2-2b-it,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164101_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\02-medium-gemma2-2b\tinyllama\20260707_164101_b-n0001,preflight_only,tinyllama,gemma-2-2b-it,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164232_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\02-medium-gemma2-2b\tinyllama\20260707_164232_b-n0001,preflight_only,tinyllama,gemma-2-2b-it,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164403_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\02-medium-gemma2-2b\tinyllama\20260707_164403_b-n0001,preflight_only,tinyllama,gemma-2-2b-it,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164503_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\02-medium-gemma2-2b\tinyllama\20260707_164503_b-n0001,preflight_only,tinyllama,gemma-2-2b-it,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164733_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\02-medium-gemma2-2b\tinyllama\20260707_164733_b-n0001,preflight_only,tinyllama,gemma-2-2b-it,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164902_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\02-medium-gemma2-2b\tinyllama\20260707_164902_b-n0001,preflight_only,tinyllama,gemma-2-2b-it,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_163901_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\02-medium-phi3-mini\tinyllama\20260707_163901_b-n0001,preflight_only,tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164001_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\02-medium-phi3-mini\tinyllama\20260707_164001_b-n0001,preflight_only,tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164101_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\02-medium-phi3-mini\tinyllama\20260707_164101_b-n0001,preflight_only,tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164232_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\02-medium-phi3-mini\tinyllama\20260707_164232_b-n0001,preflight_only,tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164403_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\02-medium-phi3-mini\tinyllama\20260707_164403_b-n0001,preflight_only,tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
20260707_164704_b-n0001,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\transformers\02-medium-phi3-mini\tinyllama\20260707_164704_b-n0001,preflight_only,tinyllama,Phi-3-mini-4k-instruct,medium,piper,vosk,1,0,0,0,1,0,0,,False,configuration was expanded; no condition runtime evidence was found
