agent_a_type,agent_b_model,agent_b_llm_size,run_type,tts_engine,asr_engine,phase_order,phase,condition_phase_rows,observed_phase_rows,mean_observation_count,mean_processing_sec,maximum_processing_sec,mean_pipeline_success_rate,total_error_count,total_misinterpreted_tokens,total_corrections,mean_valid_route_parse_rate,total_candidates,evidence_source
tinyllama,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,vosk,1,natural_language_generation,21,21,14.761904761904763,8.920988048449752,29.16754,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
tinyllama,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,faster_whisper,1,natural_language_generation,3,3,11.666666666666666,18.33151264915825,31.081618,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,faster_whisper,1,natural_language_generation,10,10,10.8,42.52860940597902,199.951631,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,vosk,1,natural_language_generation,21,21,15.380952380952381,16.207465759660742,81.571996,,0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
tinyllama,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,vosk,2,text_to_speech,21,21,14.761904761904763,5.928052171535254,36.372098,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
tinyllama,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,faster_whisper,2,text_to_speech,3,3,11.666666666666666,6.607804109090909,12.803666,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,faster_whisper,2,text_to_speech,10,10,10.8,5.8682516800543905,28.264267,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,vosk,2,text_to_speech,21,21,15.380952380952381,2.2638139898030363,7.686704,1.0,0.0,0,0,,0,phase_metric_comparison.csv grouped by model/run type/phase
tinyllama,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,vosk,3,automatic_speech_recognition,21,21,14.761904761904763,1.3176382089815413,22.291148,1.0,0.0,730.0,139.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
tinyllama,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,faster_whisper,3,automatic_speech_recognition,3,3,11.666666666666666,8.586313496969698,13.354878,1.0,0.0,27.0,7.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,faster_whisper,3,automatic_speech_recognition,10,10,10.8,8.040689224706682,19.18041,1.0,0.0,69.0,32.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,vosk,3,automatic_speech_recognition,21,21,15.380952380952381,1.6274251812722653,4.221126,1.0,0.0,781.0,122.0,,0,phase_metric_comparison.csv grouped by model/run type/phase
tinyllama,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,vosk,4,natural_language_understanding,21,21,7.0476190476190474,0.0014146618858654574,0.009509,,0,0,0,0.5884353741496599,0,phase_metric_comparison.csv grouped by model/run type/phase
tinyllama,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,faster_whisper,4,natural_language_understanding,3,3,5.333333333333333,0.0024813238095238092,0.009405,,0,0,0,0.8333333333333334,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,faster_whisper,4,natural_language_understanding,10,10,5.0,0.005132420952380952,0.045806,,0,0,0,0.89,0,phase_metric_comparison.csv grouped by model/run type/phase
userlm,Qwen2.5-0.5B-Instruct,small,audio_variant,piper,vosk,4,natural_language_understanding,21,21,7.380952380952381,0.0027916369614512473,0.01548,,0,0,0,0.645124716553288,0,phase_metric_comparison.csv grouped by model/run type/phase
