source_run,condition_id,condition_state,run_type,turn,speaker,listener,intended_text,tts_text,asr_raw_text,understood_text,misinterpretation_count,correction_count,pipeline_ok,tts_latency_sec,asr_latency_sec,pipeline_latency_sec,nlu_route_valid,nlu_route_reaches_goal
20260714_030948_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-T,completed,text_only,1,Agent A,Agent B,I'm starting at station Bravo at 08:07. I need to take transit lines to Harbor. Which lines should I take?,"um, Okay, I'm starting at station Bravo at eight oh seven. let me see, I need to take transit lines to Harbor. Which lines should I take?","um, Okay, I'm starting at station Bravo at eight oh seven. let me see, I need to take transit lines to Harbor. Which lines should I take?","um, Okay, I'm starting at station Bravo at eight oh seven. let me see, I need to take transit lines to Harbor. Which lines should I take?",0,0,True,0.700449,0.033667,0.734907,,
20260714_030948_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-T,completed,text_only,2,Agent B,Agent A,"Take tram line T1 from Bravo to Delta; tram T6 from Delta to Harbor. 31 minutes, 1 changes.","Take tram line T1 from Bravo to Delta; tram T6 from Delta to Harbor. 31 minutes, 1 changes.","Take tram line T1 from Bravo to Delta; tram T6 from Delta to Harbor. 31 minutes, 1 changes.","Take tram line T1 from Bravo to Delta; tram T6 from Delta to Harbor. 31 minutes, 1 changes.",0,0,True,0.729944,0.01813,0.748504,True,True
20260714_030948_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-T,completed,text_only,3,Agent A,Agent B,That route and timing work. Can you make it not near capacity?,"okay, That route and timing work. okay, Can you make i-it not near capacity?","okay, That route and timing work. okay, Can you make i-it not near capacity?","okay, That route and timing work. okay, Can you make i-it not near capacity?",0,0,True,0.689182,0.019203,0.70923,,
20260714_030948_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-T,completed,text_only,4,Agent B,Agent A,"Take tram line T1 from Bravo to Alpha; tram T5 from Alpha to Elm; tram T1 from Elm to Harbor. 41 minutes, 2 changes. It is not near capacity.","um, Take tram line T1 from Bravo to Alpha; tram T5 from Alpha to Elm; tram T1 from Elm to Harbor. 41 minutes, 2 changes. It is not near capacity.","um, Take tram line T1 from Brava to Alpha; tram T5 from Alpha to Elm; tram T1 from Elm to Harbor. 41 minutes, 2 changes. It is not near capacity.","um, Take tram line T1 from Brava to Alpha; tram T5 from Alpha to Elm; tram T1 from Elm to Harbor. 41 minutes, 2 changes. It is not near capacity.",1,0,True,1.266105,0.029782,1.296373,True,False
20260714_030948_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-T,completed,text_only,5,Agent A,Agent B,That does not reach Harbor yet. What is the next connected segment?,That does not reach Harbor yet. What is the next connected segment?,That does not reach Harbor yet. What is the next connected segment?,That does not reach Harbor yet. What is the next connected segment?,0,0,True,0.567236,0.015454,0.582902,,
20260714_030948_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-T,completed,text_only,6,Agent B,Agent A,"Take tram line T1 from Bravo to Juliett; tram T6 from Juliett to Harbor. 43 minutes, 1 changes.","Take tram line T1 from Bravo to Juliett; tram T6 from Juliett to Harbor. 43 minutes, 1 changes.","Take tram line T1 from Brava to Juliett; tram T6 from Juliett to Harbor. 43 minutes, 1 changes.","Take tram line T1 from Brava to Juliett; tram T6 from Juliett to Harbor. 43 minutes, 1 changes.",1,0,True,0.812822,0.020264,0.833538,True,False
20260714_030948_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-T,completed,text_only,7,Agent A,Agent B,That does not reach Harbor yet. What is the next connected segment?,"um, That does not reach Harbor yet. um, What is the next connected segment?","um, That does not reach Harbor yet. um, What is the next connected segment?","um, That does not reach Harbor yet. um, What is the next connected segment?",0,0,True,0.689543,0.016355,0.706108,,
20260714_030948_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-T,completed,text_only,8,Agent B,Agent A,"Take tram line T1 from Bravo to Echo; walk 7 minutes from Echo to Foxtrot; metro M1 from Foxtrot to Jasper; bus B1 from Jasper to Harbor. 53 minutes, 3 changes.","let me see, Take tram line T1 from Bravo to Echo; walk 7 minutes from Echo to Foxtrot; metro M1 from Foxtrot to Jasper; bus B1 from Jasper to Harbor. okay, 53 minutes, 3 changes.","let me see, Take tram line T1 from Bravo to Echo; walk 7 minutes from Echo to Foxtrot; metro M1 from Foxtrot to Jasper; bus B1 from Jasper to Harbor. okay, 53 minutes, 3 changes.","let me see, Take tram line T1 from Bravo to Echo; walk 7 minutes from Echo to Foxtrot; metro M1 from Foxtrot to Jasper; bus B1 from Jasper to Harbor. okay, 53 minutes, 3 changes.",0,0,True,1.482447,0.028543,1.511478,True,True
20260714_030948_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-T,completed,text_only,9,Agent A,Agent B,The earlier route fits. Can you make it with lower delay risk?,"The earlier route fits. um, Can you make it with lower delay risk?","The earlier route fits. um, Can you make it with lower delay risk?","The earlier route fits. um, Can you make it with lower delay risk?",0,0,True,0.594574,0.016438,0.611353,,
20260714_030948_b-n0001,C-MPCC-DST-HESIT-PIP-VOS-Q05-DEFAU-SML-I0-5d0964458b-T,completed,text_only,10,Agent B,Agent A,"Take tram line T1 from Bravo to Delta; tram T6 from Delta to Harbor. 31 minutes, 1 changes. Delay risk is high.","Take tram um, line T1 from Bravo to Delta; tram T6 from Delta to Harbor. okay, 31 minutes, 1 changes. let me see, Delay risk is high.","Take tram um, line T1 from Bravo to Delta; tram T6 from Delta to Harbor. okay, 31 minutes, 1 changes. let me see, Delay risk is high.","Take tram um, line T1 from Bravo to Delta; tram T6 from Delta to Harbor. okay, 31 minutes, 1 changes. let me see, Delay risk is high.",0,0,True,1.187597,0.023081,1.211042,True,True
