factor,level,generated_conditions,valid_conditions,invalid_conditions
agent_a_type,tinyllama,924,792,132
agent_a_type,userlm,924,792,132
agent_b_model,HuggingFaceTB/SmolLM2-1.7B-Instruct,168,144,24
agent_b_model,HuggingFaceTB/SmolLM2-360M-Instruct,168,144,24
agent_b_model,Qwen/Qwen2.5-0.5B-Instruct,168,144,24
agent_b_model,Qwen/Qwen2.5-1.5B-Instruct,168,144,24
agent_b_model,Qwen/Qwen2.5-7B-Instruct,168,144,24
agent_b_model,Qwen/Qwen3-4B-Instruct-2507,168,144,24
agent_b_model,TinyLlama/TinyLlama-1.1B-Chat-v1.0,168,144,24
agent_b_model,google/gemma-2-2b-it,168,144,24
agent_b_model,meta-llama/Llama-3.1-8B-Instruct,168,144,24
agent_b_model,microsoft/Phi-3-mini-4k-instruct,168,144,24
agent_b_model,tiiuae/Falcon3-7B-Instruct,168,144,24
agent_b_llm_size,large,504,432,72
agent_b_llm_size,medium,672,576,96
agent_b_llm_size,small,672,576,96
agent_b_model_role,compact_instruction_boundary,84,72,12
agent_b_model_role,contained_baseline,168,144,24
agent_b_model_role,falcon_family_contrast,168,144,24
agent_b_model_role,gemma_architecture_contrast,84,72,12
agent_b_model_role,gemma_family_contrast,84,72,12
agent_b_model_role,large_llama_instruction,84,72,12
agent_b_model_role,large_llama_reference,84,72,12
agent_b_model_role,large_multilingual,84,72,12
agent_b_model_role,large_qwen_multilingual,84,72,12
agent_b_model_role,low_resource_floor,84,72,12
agent_b_model_role,medium_lite_qwen,84,72,12
agent_b_model_role,multilingual_medium_lite,84,72,12
agent_b_model_role,multilingual_small,84,72,12
agent_b_model_role,newer_qwen_instruction,84,72,12
agent_b_model_role,newer_qwen_instruction_contrast,84,72,12
agent_b_model_role,reasoning_family_contrast,84,72,12
agent_b_model_role,reasoning_focused_phi,84,72,12
agent_b_model_role,size_floor,84,72,12
agent_b_model_role,small_medium_boundary,84,72,12
agent_b_model_role,sub_billion_floor,84,72,12
test_case_key,airport_connection,220,44,176
test_case_key,crowded_event_exit,176,176,0
test_case_key,midday_transfer,220,220,0
test_case_key,morning_peak_cross_city,1232,1144,88
persona_key,crowd_averse_rider,308,264,44
persona_key,delay_sensitive_traveler,308,264,44
persona_key,focused_commuter,924,836,88
persona_key,risk_averse_novice,308,220,88
agent_a_audio_persona,barely_understandable_caller,308,220,88
agent_a_audio_persona,degraded_caller,308,264,44
agent_a_audio_persona,high_clarity_caller,924,836,88
agent_a_audio_persona,neutral_caller,308,264,44
agent_b_audio_persona,barely_understandable_operator,308,220,88
agent_b_audio_persona,clear_operator,308,264,44
agent_b_audio_persona,degraded_operator,308,264,44
agent_b_audio_persona,high_clarity_operator,924,836,88
speech_pattern_key,clean,924,836,88
speech_pattern_key,hesitant,308,264,44
speech_pattern_key,mostly_clean,308,264,44
speech_pattern_key,severe_channel,308,220,88
run_type,audio_variant,924,792,132
run_type,text_only,924,792,132
configured_tts_engine,piper,1848,1584,264
configured_asr_engine,faster_whisper,352,176,176
configured_asr_engine,vosk,1496,1408,88
asr_beam_size,1,308,220,88
asr_beam_size,11,308,264,44
asr_beam_size,16,924,836,88
asr_beam_size,6,308,264,44
network_seed,42,1452,1408,44
network_seed,77,396,176,220
speech_performance_band,ceiling,924,836,88
speech_performance_band,challenging,308,264,44
speech_performance_band,floor,308,220,88
speech_performance_band,nominal,308,264,44
model_param_key,greedy,1276,1100,176
model_param_key,nucleus0.9,308,308,0
model_param_key,temp0.7,264,176,88
objective_mode,shortest_valid_route_with_constraints,1848,1584,264
iteration,0,1848,1584,264
