source_path,result_run_id,condition_id,agent_a_type,agent_b_model,agent_b_size,scenario_key,persona_key,speech_pattern_key,tts_engine,asr_engine,asr_search_width,task_success,route_valid,route_reaches_goal,outcome_band,outcome_rank
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_114303_b-n0001,20260713_114303_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-Q05-PAD-SML-I0-5b3215afe2-T,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,late_event,multi_stop_errand_runner,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_114700_b-n0001,20260713_114700_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-Q05-PAD-SML-I0-5b3215afe2-T,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,late_event,multi_stop_errand_runner,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_115715_b-n0001,20260713_115715_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-Q05-PAD-SML-I0-5b3215afe2-A,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,late_event,multi_stop_errand_runner,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_120154_b-n0001,20260713_120154_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-Q05-PAD-SML-I0-5b3215afe2-A,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,late_event,multi_stop_errand_runner,clean,piper,faster_whisper,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_120937_b-n0001,20260713_120937_b-n0001,C-HA-FC-HESIT-PIP-FWH-Q05-PTB-SML-I0-d59c41d375-T,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,hospital_appointment,focused_commuter,hesitant,file,file,6,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_121722_b-n0001,20260713_121722_b-n0001,C-HA-FC-HESIT-PIP-FWH-Q05-PTB-SML-I0-d59c41d375-T,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,hospital_appointment,focused_commuter,hesitant,file,file,6,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_121804_b-n0001,20260713_121804_b-n0001,C-HA-FC-HESIT-PIP-FWH-Q05-PTB-SML-I0-d59c41d375-A,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,hospital_appointment,focused_commuter,hesitant,piper,faster_whisper,6,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_122734_b-n0001,20260713_122734_b-n0001,C-HA-DST-CLEAN-PIP-FWH-Q05-PCC-SML-I0-f89fe48eac-T,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,hospital_appointment,delay_sensitive_traveler,clean,file,file,16,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_122754_b-n0001,20260713_122754_b-n0001,C-HA-FC-HESIT-PIP-FWH-Q05-PTB-SML-I0-d59c41d375-A,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,hospital_appointment,focused_commuter,hesitant,piper,faster_whisper,6,True,True,True,successful,1.0
C:\Users\sende\PycharmProjects\CoopNavigationSDS_fix\results\01-small-qwen2.5-0.5b\userlm\20260713_123754_b-n0001,20260713_123754_b-n0001,C-HA-DST-CLEAN-PIP-FWH-Q05-PCC-SML-I0-f89fe48eac-A,userlm,Qwen/Qwen2.5-0.5B-Instruct,small,hospital_appointment,delay_sensitive_traveler,clean,piper,faster_whisper,16,True,True,True,successful,1.0
