source_run,condition_id,condition_state,run_type,turn,speaker,listener,intended_text,tts_text,asr_raw_text,understood_text,misinterpretation_count,correction_count,pipeline_ok,tts_latency_sec,asr_latency_sec,pipeline_latency_sec,nlu_route_valid,nlu_route_reaches_goal
20260713_114303_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-Q05-PAD-SML-I0-5b3215afe2-T,completed,text_only,1,Agent A,Agent B,I'm starting at station Kilo at 21:05. I need to take transit lines to Jasper. Which lines should I take?,I'm starting at station Kilo at twenty one oh five. I need to take transit lines to Jasper. Which lines should I take?,I'm starting at station Kilo at twenty one oh five. I need to take transit lines to Jasper. Which lines should I take?,I'm station at station Kilo at twenty one oh five. I need to take transit lines to Jasper. Which lines should I take?,0,1,True,1.219343,0.060422,1.281215,,
20260713_114303_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-Q05-PAD-SML-I0-5b3215afe2-T,completed,text_only,2,Agent B,Agent A,"Take tram line T1 from Kilo to India; metro M1 from India to Jasper. 30 minutes, 1 changes.","Take tram line T1 from Kilo to India; metro M1 from India to Jasper. 30 minutes, 1 changes.","Take tram line T1 from Kilo to India; metro M1 from India to Jasper. 30 minutes, 1 changes.","Take tram line T1 from Kilo to India; metro M1 from India to Jasper. 30 minutes, 1 changes.",0,0,True,1.913425,0.031227,1.945325,True,True
20260713_114303_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-Q05-PAD-SML-I0-5b3215afe2-T,completed,text_only,3,Agent A,Agent B,That route and timing work. Can you make it not near capacity?,That route and timing work. Can you make it not near capacity?,That route and timing work. Can you make it not near capacity?,That route and timing work. Can you make it not near capacity?,0,0,True,1.135159,0.025492,1.161357,,
20260713_114303_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-Q05-PAD-SML-I0-5b3215afe2-T,completed,text_only,4,Agent B,Agent A,"Take bus line B1 from Kilo to Foxtrot; metro M1 from Foxtrot to Jasper. 34 minutes, 1 changes. It is not near capacity.","Take bus line B1 from Kilo to Foxtrot; metro M1 from Foxtrot to Jasper. 34 minutes, 1 changes. It is not near capacity.","Take bus line B1 from Kilo to Foxtrot; metro M1 from Foxtrot to Jasper. 34 minutes, 1 changes. It is not near capacity.","Take bus line B1 from Kilo to Foxtrot; metro M1 from Foxtrot to Jasper. 34 minutes, 1 changes. It is not near capacity.",0,0,True,2.127642,0.035505,2.163683,True,True
20260713_114303_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-Q05-PAD-SML-I0-5b3215afe2-T,completed,text_only,5,Agent A,Agent B,That meets the current requirement. Can you make it with lower delay risk?,That meets the current requirement. Can you make it with lower delay risk?,That meets the current requirement. Can you make it with lower delay risk?,That meets the current requirement. Can you make it with lower Delta risk?,0,1,True,1.224917,0.037655,1.26334,,
20260713_114303_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-Q05-PAD-SML-I0-5b3215afe2-T,completed,text_only,6,Agent B,Agent A,"Take tram line T1 from Kilo to Echo; walk 7 minutes from Echo to Foxtrot; metro M1 from Foxtrot to Jasper. 34 minutes, 2 changes. Delay risk is high.","Take tram line T1 from Kilo to Echo; walk 7 minutes from Echo to Foxtrot; metro M1 from Foxtrot to Jasper. 34 minutes, 2 changes. Delay risk is high.","Take tram line T1 from Kilo to Echo; walk 7 minutes from Echo to Foxtrot; metro M1 from Foxtrot to Jasper. 34 minutes, 2 changes. Delay risk is high.","Take tram line T1 from Kilo to Echo; walk 7 minutes from Echo to Foxtrot; metro M1 from Foxtrot to Jasper. 34 minutes, 2 changes. Delta risk is high.",0,1,True,2.677578,0.050213,2.728412,True,True
20260713_114303_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-Q05-PAD-SML-I0-5b3215afe2-T,completed,text_only,7,Agent A,Agent B,I heard 'Delay'. Did you mean 'Delta'?,I heard 'Delay'. Did you mean 'Delta'?,I heard 'Delay'. Did you mean 'Delta'?,I heard ' Delta '. Did you mean ' Delta '?,0,2,True,0.696457,0.015365,0.712381,,
20260713_114303_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-Q05-PAD-SML-I0-5b3215afe2-T,completed,text_only,8,Agent B,Agent A,"Yes, I meant Delta.","Yes, I meant Delta.","Yes, I meant Delta.","Yes, I meant Delta.",0,0,True,0.445369,0.007101,0.4529,,
20260713_114303_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-Q05-PAD-SML-I0-5b3215afe2-T,completed,text_only,9,Agent A,Agent B,That meets the current requirement. Can you make it with safer transfer timing?,That meets the current requirement. Can you make it with safer transfer timing?,That meets the current requirement. Can you make it with safer transfer timing?,That meets the current requirement. Can you make it with safer transfer timing?,0,0,True,1.191325,0.032727,1.224828,,
20260713_114303_b-n0001,C-LE-MSER-CLEAN-PIP-FWH-Q05-PAD-SML-I0-5b3215afe2-T,completed,text_only,10,Agent B,Agent A,"Take tram line T1 from Kilo to India; metro M3 from India to Aster; metro M1 from Aster to Jasper. 36 minutes, 2 changes. Transfer miss risk is medium.","Take tram line T1 from Kilo to India; metro M3 from India to Aster; metro M1 from Aster to Jasper. 36 minutes, 2 changes. Transfer miss risk is medium.","Take tram line T1 from Kilo to India; metro M3 from India to Aster; metro M1 from Aster to Jasper. 36 minutes, 2 changes. Transfer miss risk is medium.","Take tram line T1 from Kilo to India; metro M3 from India to Aster; metro M1 from Aster to Jasper. 36 minutes, 2 changes. Transfer miss risk is medium.",0,0,True,2.684446,0.046178,2.731183,True,True
