job_name,job_path,job_group,coverage_strategy,result_group,generated_sequence,valid_sequence,stage_viable,invalid_stage_count,invalid_stages,valid_stage_count,total_stage_count,condition_id,pair_id,run_type,agent_a_type,agent_b_plugin,agent_b_model,agent_b_llm_size,agent_b_model_slot,agent_b_model_role,matrix_family,model_profile,model_provider,test_case_key,scenario_key,start_station,destination_station,start_time_min,persona_key,agent_a_audio_persona,agent_b_audio_persona,speech_pattern_key,configured_tts_engine,effective_tts_engine,configured_asr_engine,effective_asr_engine,asr_beam_size,network_seed,speech_performance_band,speech_performance_rank,model_param_key,objective_mode,iteration,dialogue_stagnation_limit,transfer_tolerance,channel_noise_snr_db,channel_gain_db,channel_clip_threshold,channel_dropout_rate,parameter_values_json
transformers_large_qwen2_5_7b,C:\Users\sende\PycharmProjects\MiniLlama\jobs\agent_b_llm\transformers_speech_grid\large\01-qwen2.5-7b.job,large,pairwise,03-large-qwen2.5-7b/tinyllama,1,1,True,0,,4,4,C-MPCC-FC-CLEAN-PIP-VOS-QQ57I-DEFAU-LRG-I0-7cde28dbf6-T,P-7cde28dbf6,text_only,tinyllama,llm,Qwen/Qwen2.5-7B-Instruct,large,large1,large_multilingual,transformers_agent_b_speech_grid_v1,qwen2_5_7b_transformers,transformers,morning_peak_cross_city,morning_peak_cross_city,Bravo,Harbor,487,focused_commuter,high_clarity_caller,high_clarity_operator,clean,piper,file,vosk,file,16,42,ceiling,3,greedy,shortest_valid_route_with_constraints,0,2,1,,0.0,1.0,0.0,"{""agent_a_custom_audio"": false, ""agent_b_custom_audio"": false, ""agent_b_llm_size"": ""large"", ""agent_b_model_role"": ""large_multilingual"", ""agent_b_model_slot"": ""large1"", ""asr_beam_size"": 16, ""asr_domain_normalization_enabled"": true, ""asr_domain_similarity_threshold"": 0.8, ""channel_clip_threshold"": 1.0, ""channel_dropout_rate"": 0.0, ""channel_gain_db"": 0.0, ""channel_noise_snr_db"": null, ""dialogue_stagnation_limit"": 2, ""experiment_platform"": ""linux"", ""matrix_family"": ""transformers_agent_b_speech_grid_v1"", ""max_utterance_sec"": 30.0, ""network_seed"": 42, ""profile_key"": ""default"", ""speech_performance_band"": ""ceiling"", ""speech_performance_profile_key"": ""ceiling"", ""speech_performance_rank"": 3, ""transfer_tolerance"": 1}"
transformers_large_qwen2_5_7b,C:\Users\sende\PycharmProjects\MiniLlama\jobs\agent_b_llm\transformers_speech_grid\large\01-qwen2.5-7b.job,large,pairwise,03-large-qwen2.5-7b/tinyllama,2,2,True,0,,4,4,C-MPCC-FC-CLEAN-PIP-VOS-QQ57I-DEFAU-LRG-I0-7cde28dbf6-A,P-7cde28dbf6,audio_variant,tinyllama,llm,Qwen/Qwen2.5-7B-Instruct,large,large1,large_multilingual,transformers_agent_b_speech_grid_v1,qwen2_5_7b_transformers,transformers,morning_peak_cross_city,morning_peak_cross_city,Bravo,Harbor,487,focused_commuter,high_clarity_caller,high_clarity_operator,clean,piper,piper,vosk,vosk,16,42,ceiling,3,greedy,shortest_valid_route_with_constraints,0,2,1,,0.0,1.0,0.0,"{""agent_a_custom_audio"": false, ""agent_b_custom_audio"": false, ""agent_b_llm_size"": ""large"", ""agent_b_model_role"": ""large_multilingual"", ""agent_b_model_slot"": ""large1"", ""asr_beam_size"": 16, ""asr_domain_normalization_enabled"": true, ""asr_domain_similarity_threshold"": 0.8, ""channel_clip_threshold"": 1.0, ""channel_dropout_rate"": 0.0, ""channel_gain_db"": 0.0, ""channel_noise_snr_db"": null, ""dialogue_stagnation_limit"": 2, ""experiment_platform"": ""linux"", ""matrix_family"": ""transformers_agent_b_speech_grid_v1"", ""max_utterance_sec"": 30.0, ""network_seed"": 42, ""profile_key"": ""default"", ""speech_performance_band"": ""ceiling"", ""speech_performance_profile_key"": ""ceiling"", ""speech_performance_rank"": 3, ""transfer_tolerance"": 1}"
transformers_large_qwen2_5_7b,C:\Users\sende\PycharmProjects\MiniLlama\jobs\agent_b_llm\transformers_speech_grid\large\01-qwen2.5-7b.job,large,pairwise,03-large-qwen2.5-7b/tinyllama,3,,False,4,1;2;3;4,0,4,C-MPCC-CAR-MC-PIP-FWH-QQ57I-DEFAU-LRG-I0-37a3226776-T,P-37a3226776,text_only,tinyllama,llm,Qwen/Qwen2.5-7B-Instruct,large,large1,large_multilingual,transformers_agent_b_speech_grid_v1,qwen2_5_7b_transformers,transformers,morning_peak_cross_city,morning_peak_cross_city,Bravo,Harbor,487,crowd_averse_rider,neutral_caller,clear_operator,mostly_clean,piper,file,faster_whisper,file,11,77,nominal,2,temp0.7,shortest_valid_route_with_constraints,0,3,2,30.0,-2.0,0.95,0.005,"{""agent_a_custom_audio"": false, ""agent_b_custom_audio"": false, ""agent_b_llm_size"": ""large"", ""agent_b_model_role"": ""large_multilingual"", ""agent_b_model_slot"": ""large1"", ""asr_beam_size"": 11, ""asr_domain_normalization_enabled"": true, ""asr_domain_similarity_threshold"": 0.86, ""channel_clip_threshold"": 0.95, ""channel_dropout_rate"": 0.005, ""channel_gain_db"": -2.0, ""channel_noise_snr_db"": 30.0, ""dialogue_stagnation_limit"": 3, ""experiment_platform"": ""linux"", ""matrix_family"": ""transformers_agent_b_speech_grid_v1"", ""max_utterance_sec"": 22.0, ""network_seed"": 77, ""profile_key"": ""default"", ""speech_performance_band"": ""nominal"", ""speech_performance_profile_key"": ""nominal"", ""speech_performance_rank"": 2, ""transfer_tolerance"": 2}"
transformers_large_qwen2_5_7b,C:\Users\sende\PycharmProjects\MiniLlama\jobs\agent_b_llm\transformers_speech_grid\large\01-qwen2.5-7b.job,large,pairwise,03-large-qwen2.5-7b/tinyllama,4,,False,4,1;2;3;4,0,4,C-MPCC-CAR-MC-PIP-FWH-QQ57I-DEFAU-LRG-I0-37a3226776-A,P-37a3226776,audio_variant,tinyllama,llm,Qwen/Qwen2.5-7B-Instruct,large,large1,large_multilingual,transformers_agent_b_speech_grid_v1,qwen2_5_7b_transformers,transformers,morning_peak_cross_city,morning_peak_cross_city,Bravo,Harbor,487,crowd_averse_rider,neutral_caller,clear_operator,mostly_clean,piper,piper,faster_whisper,faster_whisper,11,77,nominal,2,temp0.7,shortest_valid_route_with_constraints,0,3,2,30.0,-2.0,0.95,0.005,"{""agent_a_custom_audio"": false, ""agent_b_custom_audio"": false, ""agent_b_llm_size"": ""large"", ""agent_b_model_role"": ""large_multilingual"", ""agent_b_model_slot"": ""large1"", ""asr_beam_size"": 11, ""asr_domain_normalization_enabled"": true, ""asr_domain_similarity_threshold"": 0.86, ""channel_clip_threshold"": 0.95, ""channel_dropout_rate"": 0.005, ""channel_gain_db"": -2.0, ""channel_noise_snr_db"": 30.0, ""dialogue_stagnation_limit"": 3, ""experiment_platform"": ""linux"", ""matrix_family"": ""transformers_agent_b_speech_grid_v1"", ""max_utterance_sec"": 22.0, ""network_seed"": 77, ""profile_key"": ""default"", ""speech_performance_band"": ""nominal"", ""speech_performance_profile_key"": ""nominal"", ""speech_performance_rank"": 2, ""transfer_tolerance"": 2}"
transformers_large_qwen2_5_7b,C:\Users\sende\PycharmProjects\MiniLlama\jobs\agent_b_llm\transformers_speech_grid\large\01-qwen2.5-7b.job,large,pairwise,03-large-qwen2.5-7b/tinyllama,5,3,True,0,,4,4,C-MPCC-DST-HESIT-PIP-VOS-QQ57I-DEFAU-LRG-I0-6542750cb9-T,P-6542750cb9,text_only,tinyllama,llm,Qwen/Qwen2.5-7B-Instruct,large,large1,large_multilingual,transformers_agent_b_speech_grid_v1,qwen2_5_7b_transformers,transformers,morning_peak_cross_city,morning_peak_cross_city,Bravo,Harbor,487,delay_sensitive_traveler,degraded_caller,degraded_operator,hesitant,piper,file,vosk,file,6,42,challenging,1,nucleus0.9,shortest_valid_route_with_constraints,0,3,2,15.0,-6.0,0.7,0.04,"{""agent_a_custom_audio"": false, ""agent_b_custom_audio"": false, ""agent_b_llm_size"": ""large"", ""agent_b_model_role"": ""large_multilingual"", ""agent_b_model_slot"": ""large1"", ""asr_beam_size"": 6, ""asr_domain_normalization_enabled"": true, ""asr_domain_similarity_threshold"": 0.92, ""channel_clip_threshold"": 0.7, ""channel_dropout_rate"": 0.04, ""channel_gain_db"": -6.0, ""channel_noise_snr_db"": 15.0, ""dialogue_stagnation_limit"": 3, ""experiment_platform"": ""linux"", ""matrix_family"": ""transformers_agent_b_speech_grid_v1"", ""max_utterance_sec"": 16.0, ""network_seed"": 42, ""profile_key"": ""default"", ""speech_performance_band"": ""challenging"", ""speech_performance_profile_key"": ""challenging"", ""speech_performance_rank"": 1, ""transfer_tolerance"": 2}"
transformers_large_qwen2_5_7b,C:\Users\sende\PycharmProjects\MiniLlama\jobs\agent_b_llm\transformers_speech_grid\large\01-qwen2.5-7b.job,large,pairwise,03-large-qwen2.5-7b/tinyllama,6,4,True,0,,4,4,C-MPCC-DST-HESIT-PIP-VOS-QQ57I-DEFAU-LRG-I0-6542750cb9-A,P-6542750cb9,audio_variant,tinyllama,llm,Qwen/Qwen2.5-7B-Instruct,large,large1,large_multilingual,transformers_agent_b_speech_grid_v1,qwen2_5_7b_transformers,transformers,morning_peak_cross_city,morning_peak_cross_city,Bravo,Harbor,487,delay_sensitive_traveler,degraded_caller,degraded_operator,hesitant,piper,piper,vosk,vosk,6,42,challenging,1,nucleus0.9,shortest_valid_route_with_constraints,0,3,2,15.0,-6.0,0.7,0.04,"{""agent_a_custom_audio"": false, ""agent_b_custom_audio"": false, ""agent_b_llm_size"": ""large"", ""agent_b_model_role"": ""large_multilingual"", ""agent_b_model_slot"": ""large1"", ""asr_beam_size"": 6, ""asr_domain_normalization_enabled"": true, ""asr_domain_similarity_threshold"": 0.92, ""channel_clip_threshold"": 0.7, ""channel_dropout_rate"": 0.04, ""channel_gain_db"": -6.0, ""channel_noise_snr_db"": 15.0, ""dialogue_stagnation_limit"": 3, ""experiment_platform"": ""linux"", ""matrix_family"": ""transformers_agent_b_speech_grid_v1"", ""max_utterance_sec"": 16.0, ""network_seed"": 42, ""profile_key"": ""default"", ""speech_performance_band"": ""challenging"", ""speech_performance_profile_key"": ""challenging"", ""speech_performance_rank"": 1, ""transfer_tolerance"": 2}"
transformers_large_qwen2_5_7b,C:\Users\sende\PycharmProjects\MiniLlama\jobs\agent_b_llm\transformers_speech_grid\large\01-qwen2.5-7b.job,large,pairwise,03-large-qwen2.5-7b/tinyllama,7,,False,4,1;2;3;4,0,4,C-MPCC-RAN-SC-PIP-FWH-QQ57I-DEFAU-LRG-I0-d01b543f47-T,P-d01b543f47,text_only,tinyllama,llm,Qwen/Qwen2.5-7B-Instruct,large,large1,large_multilingual,transformers_agent_b_speech_grid_v1,qwen2_5_7b_transformers,transformers,morning_peak_cross_city,morning_peak_cross_city,Bravo,Harbor,487,risk_averse_novice,barely_understandable_caller,barely_understandable_operator,severe_channel,piper,file,faster_whisper,file,1,77,floor,0,greedy,shortest_valid_route_with_constraints,0,2,1,5.0,-12.0,0.35,0.15,"{""agent_a_custom_audio"": false, ""agent_b_custom_audio"": false, ""agent_b_llm_size"": ""large"", ""agent_b_model_role"": ""large_multilingual"", ""agent_b_model_slot"": ""large1"", ""asr_beam_size"": 1, ""asr_domain_normalization_enabled"": false, ""asr_domain_similarity_threshold"": 0.98, ""channel_clip_threshold"": 0.35, ""channel_dropout_rate"": 0.15, ""channel_gain_db"": -12.0, ""channel_noise_snr_db"": 5.0, ""dialogue_stagnation_limit"": 2, ""experiment_platform"": ""linux"", ""matrix_family"": ""transformers_agent_b_speech_grid_v1"", ""max_utterance_sec"": 10.0, ""network_seed"": 77, ""profile_key"": ""default"", ""speech_performance_band"": ""floor"", ""speech_performance_profile_key"": ""floor"", ""speech_performance_rank"": 0, ""transfer_tolerance"": 1}"
transformers_large_qwen2_5_7b,C:\Users\sende\PycharmProjects\MiniLlama\jobs\agent_b_llm\transformers_speech_grid\large\01-qwen2.5-7b.job,large,pairwise,03-large-qwen2.5-7b/tinyllama,8,,False,4,1;2;3;4,0,4,C-MPCC-RAN-SC-PIP-FWH-QQ57I-DEFAU-LRG-I0-d01b543f47-A,P-d01b543f47,audio_variant,tinyllama,llm,Qwen/Qwen2.5-7B-Instruct,large,large1,large_multilingual,transformers_agent_b_speech_grid_v1,qwen2_5_7b_transformers,transformers,morning_peak_cross_city,morning_peak_cross_city,Bravo,Harbor,487,risk_averse_novice,barely_understandable_caller,barely_understandable_operator,severe_channel,piper,piper,faster_whisper,faster_whisper,1,77,floor,0,greedy,shortest_valid_route_with_constraints,0,2,1,5.0,-12.0,0.35,0.15,"{""agent_a_custom_audio"": false, ""agent_b_custom_audio"": false, ""agent_b_llm_size"": ""large"", ""agent_b_model_role"": ""large_multilingual"", ""agent_b_model_slot"": ""large1"", ""asr_beam_size"": 1, ""asr_domain_normalization_enabled"": false, ""asr_domain_similarity_threshold"": 0.98, ""channel_clip_threshold"": 0.35, ""channel_dropout_rate"": 0.15, ""channel_gain_db"": -12.0, ""channel_noise_snr_db"": 5.0, ""dialogue_stagnation_limit"": 2, ""experiment_platform"": ""linux"", ""matrix_family"": ""transformers_agent_b_speech_grid_v1"", ""max_utterance_sec"": 10.0, ""network_seed"": 77, ""profile_key"": ""default"", ""speech_performance_band"": ""floor"", ""speech_performance_profile_key"": ""floor"", ""speech_performance_rank"": 0, ""transfer_tolerance"": 1}"
transformers_large_qwen2_5_7b,C:\Users\sende\PycharmProjects\MiniLlama\jobs\agent_b_llm\transformers_speech_grid\large\01-qwen2.5-7b.job,large,pairwise,03-large-qwen2.5-7b/tinyllama,9,5,True,0,,4,4,C-MT-FC-CLEAN-PIP-FWH-QQ57I-DEFAU-LRG-I0-f7e8a489d7-T,P-f7e8a489d7,text_only,tinyllama,llm,Qwen/Qwen2.5-7B-Instruct,large,large1,large_multilingual,transformers_agent_b_speech_grid_v1,qwen2_5_7b_transformers,transformers,midday_transfer,midday_transfer,Echo,Zulu,738,focused_commuter,high_clarity_caller,high_clarity_operator,clean,piper,file,faster_whisper,file,16,42,ceiling,3,nucleus0.9,shortest_valid_route_with_constraints,0,2,1,,0.0,1.0,0.0,"{""agent_a_custom_audio"": false, ""agent_b_custom_audio"": false, ""agent_b_llm_size"": ""large"", ""agent_b_model_role"": ""large_multilingual"", ""agent_b_model_slot"": ""large1"", ""asr_beam_size"": 16, ""asr_domain_normalization_enabled"": true, ""asr_domain_similarity_threshold"": 0.8, ""channel_clip_threshold"": 1.0, ""channel_dropout_rate"": 0.0, ""channel_gain_db"": 0.0, ""channel_noise_snr_db"": null, ""dialogue_stagnation_limit"": 2, ""experiment_platform"": ""linux"", ""matrix_family"": ""transformers_agent_b_speech_grid_v1"", ""max_utterance_sec"": 30.0, ""network_seed"": 42, ""profile_key"": ""default"", ""speech_performance_band"": ""ceiling"", ""speech_performance_profile_key"": ""ceiling"", ""speech_performance_rank"": 3, ""transfer_tolerance"": 1}"
transformers_large_qwen2_5_7b,C:\Users\sende\PycharmProjects\MiniLlama\jobs\agent_b_llm\transformers_speech_grid\large\01-qwen2.5-7b.job,large,pairwise,03-large-qwen2.5-7b/tinyllama,10,6,True,0,,4,4,C-MT-FC-CLEAN-PIP-FWH-QQ57I-DEFAU-LRG-I0-f7e8a489d7-A,P-f7e8a489d7,audio_variant,tinyllama,llm,Qwen/Qwen2.5-7B-Instruct,large,large1,large_multilingual,transformers_agent_b_speech_grid_v1,qwen2_5_7b_transformers,transformers,midday_transfer,midday_transfer,Echo,Zulu,738,focused_commuter,high_clarity_caller,high_clarity_operator,clean,piper,piper,faster_whisper,faster_whisper,16,42,ceiling,3,nucleus0.9,shortest_valid_route_with_constraints,0,2,1,,0.0,1.0,0.0,"{""agent_a_custom_audio"": false, ""agent_b_custom_audio"": false, ""agent_b_llm_size"": ""large"", ""agent_b_model_role"": ""large_multilingual"", ""agent_b_model_slot"": ""large1"", ""asr_beam_size"": 16, ""asr_domain_normalization_enabled"": true, ""asr_domain_similarity_threshold"": 0.8, ""channel_clip_threshold"": 1.0, ""channel_dropout_rate"": 0.0, ""channel_gain_db"": 0.0, ""channel_noise_snr_db"": null, ""dialogue_stagnation_limit"": 2, ""experiment_platform"": ""linux"", ""matrix_family"": ""transformers_agent_b_speech_grid_v1"", ""max_utterance_sec"": 30.0, ""network_seed"": 42, ""profile_key"": ""default"", ""speech_performance_band"": ""ceiling"", ""speech_performance_profile_key"": ""ceiling"", ""speech_performance_rank"": 3, ""transfer_tolerance"": 1}"
