phase_order,phase,agent_b_llm_size,agent_a_type,agent_b_model,source_run,condition_id,run_type,scenario_key,persona_key,speech_pattern_key,tts_engine,asr_engine,task_success,route_valid,constraint_satisfaction,failure_phase,metric_key,metric_label,value,unit,range_min,range_max,higher_is_better,formula,operands_json
8,tts,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,tts_audio_duration_error,Audio Duration Error,0.212,seconds,,,False,arithmetic aggregation of captured timing values,"{""aligned_reference_pairs"": 0, ""dnsmos_files"": 19, ""nisqa_files"": 19, ""reference_words"": 378, ""successful_syntheses"": 19, ""synthesis_attempts"": 19, ""valid_audio_files"": 19}"
8,tts,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,tts_audio_validity_rate,Audio Validity Rate,1.0,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""aligned_reference_pairs"": 0, ""dnsmos_files"": 19, ""nisqa_files"": 19, ""reference_words"": 378, ""successful_syntheses"": 19, ""synthesis_attempts"": 19, ""valid_audio_files"": 19}"
8,tts,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,tts_clipping_rate,Clipping Rate,0.0,ratio_or_score,0.0,1.0,False,eligible successful observations / eligible observations,"{""aligned_reference_pairs"": 0, ""dnsmos_files"": 19, ""nisqa_files"": 19, ""reference_words"": 378, ""successful_syntheses"": 19, ""synthesis_attempts"": 19, ""valid_audio_files"": 19}"
8,tts,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,tts_dnsmos,non-intrusive speech and background quality,1.0517,mean_opinion_score_1_to_5,1.0,5.0,True,DNSMOS model inference over synthesized waveform,"{""aligned_reference_pairs"": 0, ""dnsmos_files"": 19, ""nisqa_files"": 19, ""reference_words"": 378, ""successful_syntheses"": 19, ""synthesis_attempts"": 19, ""valid_audio_files"": 19}"
8,tts,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,tts_failure_rate,Synthesis Failure Rate,0.0,ratio_or_score,0.0,1.0,False,eligible successful observations / eligible observations,"{""aligned_reference_pairs"": 0, ""dnsmos_files"": 19, ""nisqa_files"": 19, ""reference_words"": 378, ""successful_syntheses"": 19, ""synthesis_attempts"": 19, ""valid_audio_files"": 19}"
8,tts,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,tts_leading_trailing_silence,Leading/Trailing Silence,0.0133,seconds,,,True,deterministic derivation from the recorded pipeline trace,"{""aligned_reference_pairs"": 0, ""dnsmos_files"": 19, ""nisqa_files"": 19, ""reference_words"": 378, ""successful_syntheses"": 19, ""synthesis_attempts"": 19, ""valid_audio_files"": 19}"
8,tts,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,tts_loudness_compliance,Loudness Compliance,1.0,ratio_or_score,0.0,1.0,True,deterministic derivation from the recorded pipeline trace,"{""aligned_reference_pairs"": 0, ""dnsmos_files"": 19, ""nisqa_files"": 19, ""reference_words"": 378, ""successful_syntheses"": 19, ""synthesis_attempts"": 19, ""valid_audio_files"": 19}"
8,tts,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,tts_nisqa,non-intrusive synthesized-speech quality,1.5045,mean_opinion_score_1_to_5,1.0,5.0,True,NISQA model inference over synthesized waveform,"{""aligned_reference_pairs"": 0, ""dnsmos_files"": 19, ""nisqa_files"": 19, ""reference_words"": 378, ""successful_syntheses"": 19, ""synthesis_attempts"": 19, ""valid_audio_files"": 19}"
8,tts,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,tts_pronunciation_accuracy,Pronunciation Accuracy,0.9894,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""aligned_reference_pairs"": 0, ""dnsmos_files"": 19, ""nisqa_files"": 19, ""reference_words"": 378, ""successful_syntheses"": 19, ""synthesis_attempts"": 19, ""valid_audio_files"": 19}"
8,tts,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,tts_real_time_factor,TTS Real-Time Factor,0.1454,ratio_or_score,0.0,1.0,True,deterministic derivation from the recorded pipeline trace,"{""aligned_reference_pairs"": 0, ""dnsmos_files"": 19, ""nisqa_files"": 19, ""reference_words"": 378, ""successful_syntheses"": 19, ""synthesis_attempts"": 19, ""valid_audio_files"": 19}"
8,tts,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,tts_round_trip_route_accuracy,Round-Trip Route Accuracy,0.7143,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""aligned_reference_pairs"": 0, ""dnsmos_files"": 19, ""nisqa_files"": 19, ""reference_words"": 378, ""successful_syntheses"": 19, ""synthesis_attempts"": 19, ""valid_audio_files"": 19}"
8,tts,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,tts_round_trip_semantic_intelligibility,Round-Trip Semantic Intelligibility,0.7778,ratio_or_score,0.0,1.0,True,deterministic derivation from the recorded pipeline trace,"{""aligned_reference_pairs"": 0, ""dnsmos_files"": 19, ""nisqa_files"": 19, ""reference_words"": 378, ""successful_syntheses"": 19, ""synthesis_attempts"": 19, ""valid_audio_files"": 19}"
