phase_order,phase,agent_b_llm_size,agent_a_type,agent_b_model,source_run,condition_id,run_type,scenario_key,persona_key,speech_pattern_key,tts_engine,asr_engine,task_success,route_valid,constraint_satisfaction,failure_phase,metric_key,metric_label,value,unit,range_min,range_max,higher_is_better,formula,operands_json
5,dialogue_management,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,dialogue_management_clarification_calibration,Clarification Calibration,0.0,ratio_or_score,0.0,1.0,True,deterministic derivation from the recorded pipeline trace,"{""messages"": 19, ""progress_events"": 5, ""repair_attempts"": 1}"
5,dialogue_management,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,dialogue_management_clarification_precision,Clarification Precision,0.0,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""messages"": 19, ""progress_events"": 5, ""repair_attempts"": 1}"
5,dialogue_management,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,dialogue_management_clarification_recall,Clarification Recall,1.0,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""messages"": 19, ""progress_events"": 5, ""repair_attempts"": 1}"
5,dialogue_management,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,dialogue_management_constraint_order_adherence,Constraint-Order Adherence,1.0,ratio_or_score,0.0,1.0,True,deterministic derivation from the recorded pipeline trace,"{""messages"": 19, ""progress_events"": 5, ""repair_attempts"": 1}"
5,dialogue_management,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,dialogue_management_constraint_violation_handling_accuracy,Constraint-Violation Handling Accuracy,1.0,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""messages"": 19, ""progress_events"": 5, ""repair_attempts"": 1}"
5,dialogue_management,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,dialogue_management_correct_next_action_rate,Correct Next-Action Rate,0.7143,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""messages"": 19, ""progress_events"": 5, ""repair_attempts"": 1}"
5,dialogue_management,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,dialogue_management_distinct_proposal_rate,Distinct Proposal Rate,0.7143,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""messages"": 19, ""progress_events"": 5, ""repair_attempts"": 1}"
5,dialogue_management,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,dialogue_management_invalid_proposal_handling_accuracy,Invalid-Proposal Handling Accuracy,1.0,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""messages"": 19, ""progress_events"": 5, ""repair_attempts"": 1}"
5,dialogue_management,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,dialogue_management_policy_progress_rate,Policy Progress Rate,0.7143,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""messages"": 19, ""progress_events"": 5, ""repair_attempts"": 1}"
5,dialogue_management,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,dialogue_management_premature_answer_rate,Premature Answer Rate,0.0,ratio_or_score,0.0,1.0,False,eligible successful observations / eligible observations,"{""messages"": 19, ""progress_events"": 5, ""repair_attempts"": 1}"
5,dialogue_management,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,dialogue_management_premature_closure_rate,Premature Closure Rate,0.0,ratio_or_score,0.0,1.0,False,eligible successful observations / eligible observations,"{""messages"": 19, ""progress_events"": 5, ""repair_attempts"": 1}"
5,dialogue_management,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,dialogue_management_repair_attempt_rate,Repair Attempt Rate,0.0,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""messages"": 19, ""progress_events"": 5, ""repair_attempts"": 1}"
5,dialogue_management,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,dialogue_management_repair_success_rate,Repair Success Rate,0.0,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""messages"": 19, ""progress_events"": 5, ""repair_attempts"": 1}"
5,dialogue_management,small,userlm,Qwen/Qwen2.5-0.5B-Instruct,20260710_195541_b-n0001,C-MPCC-CAR-SC-PIP-VOS-Q05-DEFAU-SML-I0-2bde76c309-T,text_only,morning_peak_cross_city,crowd_averse_rider,severe_channel,piper,vosk,True,True,,,dialogue_management_repeated_repair_rate,Repeated Repair Rate,1.0,ratio_or_score,0.0,1.0,True,eligible successful observations / eligible observations,"{""messages"": 19, ""progress_events"": 5, ""repair_attempts"": 1}"
