phase,metric,is_direct_outcome_metric,is_construct_overlap_metric,n,correlation_with_task_success,correlation_with_route_or_better,correlation_with_outcome_rank,mean,min,max,interpretation
natural_language_generation,nlg_constraint_mention_precision,False,True,410,1.0,,1.0,0.9951219512195122,0.0,1.0,strong positive descriptive association; not causal
natural_language_generation,nlg_constraint_mention_recall,False,True,410,1.0,,1.0,0.9951219512195122,0.0,1.0,strong positive descriptive association; not causal
agent_b_response,agent_b_grounded_proposal_score,False,False,452,0.9561738869511388,0.8873903942947055,0.9945735214951584,0.918324778761062,0.0,1.0,strong positive descriptive association; not causal
natural_language_generation,nlg_faithfulness,False,False,452,0.9561738869511388,0.8873903942947055,0.9945735214951584,0.918324778761062,0.0,1.0,strong positive descriptive association; not causal
agent_b_response,agent_b_actionability_score,False,False,452,0.84903936464407,0.9778571044997064,0.9714514091663824,0.9375,0.0,1.0,strong positive descriptive association; not causal
task_outcome,task_outcome_duration_quality,True,True,452,0.8693743024378854,0.937319543505833,0.9649731069906883,0.912245575221239,0.0,1.0,strong positive descriptive association; not causal
whole_dialogue,duration_score,False,False,452,0.8693743024378854,0.937319543505833,0.9649731069906883,0.912245575221239,0.0,1.0,strong positive descriptive association; not causal
whole_dialogue,automatic_eval_score,False,True,452,0.9731535217746056,0.773135568638567,0.9517694117566393,0.8760429203539823,0.0556,0.9777,strong positive descriptive association; not causal
whole_dialogue,whole_dialogue_dialogue_success_score,False,True,452,0.9731535217746056,0.773135568638567,0.9517694117566393,0.8760429203539823,0.0556,0.9777,strong positive descriptive association; not causal
whole_dialogue,whole_dialogue_interaction_quality_trajectory,False,True,452,0.9731535217746056,0.773135568638567,0.9517694117566393,0.8760429203539823,0.0556,0.9777,strong positive descriptive association; not causal
task_outcome,task_outcome_stage_completion_rate,True,True,452,0.9872384068821942,0.7531262079362261,0.9510348204794664,0.9085546460176991,0.0,1.0,strong positive descriptive association; not causal
metric_validity,metric_validity_success_confidence_interval_high,False,True,452,1.0,0.7303165837777149,0.9481926219770233,0.9803550884955752,0.7935,1.0,strong positive descriptive association; not causal
metric_validity,metric_validity_success_confidence_interval_low,False,True,452,1.0,0.7303165837777148,0.9481926219770233,0.18685508849557522,0.0,0.2065,strong positive descriptive association; not causal
agent_b_response,agent_b_active_constraint_compliance,False,True,452,1.0,0.7303165837777148,0.9481926219770231,0.9048672566371682,0.0,1.0,strong positive descriptive association; not causal
