source_run,source_path,condition_id,condition_state,run_type,pair_id,model_comparison_condition_key,scenario_key,persona_key,speech_pattern_key,speech_performance_band,agent_a_type,agent_a_audio_persona,agent_b_audio_persona,agent_b_model,agent_b_llm_size,agent_b_model_role,model_param_key,objective_mode,iteration,tts_engine,asr_engine,asr_beam_size,network_seed,transfer_tolerance,dialogue_stagnation_limit,outcome,task_success,stop_reason,route_valid,destination_reached,route_duration_min,duration_limit_min,optimal_duration_min,duration_gap_min,constraints_satisfied,constraints_total,candidates_compared,route_revisions,turn_count,runtime_sec,selected_route,optimal_route,source_event_file
20260705_123702_b-n0026,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026,C-MPCC-FC-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-acf3050f22-T,completed,text_only,P-acf3050f22,MC-6c085e5c669d,morning_peak_cross_city,focused_commuter,clean,custom,userlm,high_clarity_caller,clear_operator,small2-qwen2.5-1.5b,small,model_comparison,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,1,29,,,satisfied,True,agent_a_closed,True,True,26.0,38.0,26.0,0.0,3,3,4.0,0.0,9.0,1036.73,Bravo (M1 : Alpha) -> Grove (walk: 7 min) -> Harbor,Bravo (M1 : Alpha) -> Grove (walk: 7 min) -> Harbor,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026\batch-c-mpcc-fc-clean-pip-fwh-bhugg-defau-sml-i0-acf3050f22-t-20260705-123810.jsonl
20260705_123702_b-n0026,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026,C-MPCC-FC-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-acf3050f22-A,completed,audio_variant,P-acf3050f22,MC-cbadefe825e9,morning_peak_cross_city,focused_commuter,clean,custom,userlm,high_clarity_caller,clear_operator,small2-qwen2.5-1.5b,small,model_comparison,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,1,29,,,satisfied,True,agent_a_closed,True,True,26.0,38.0,26.0,0.0,3,3,4.0,0.0,9.0,521.89,Bravo (M1 : Alpha) -> Grove (walk: 7 min) -> Harbor,Bravo (M1 : Alpha) -> Grove (walk: 7 min) -> Harbor,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026\batch-c-mpcc-fc-clean-pip-fwh-bhugg-defau-sml-i0-acf3050f22-a-20260705-125724.jsonl
20260705_123702_b-n0026,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026,C-MPCC-FC-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-5142576e57-T,completed,text_only,P-5142576e57,MC-d67fe3981e3d,morning_peak_cross_city,focused_commuter,hesitant,custom,userlm,hesitant_caller,degraded_operator,small2-qwen2.5-1.5b,small,model_comparison,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,6,42,,,satisfied,True,agent_a_closed,True,True,31.0,46.0,31.0,0.0,3,3,4.0,0.0,9.0,448.03,"Bravo (T1 : Charlie) -> Delta (T6 : Juliett, Victor) -> Harbor","Bravo (T1 : Charlie) -> Delta (T6 : Juliett, Victor) -> Harbor",C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026\batch-c-mpcc-fc-hesit-pip-fwh-bhugg-defau-sml-i0-5142576e57-t-20260705-130822.jsonl
20260705_123702_b-n0026,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026,C-MPCC-FC-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-5142576e57-A,completed,audio_variant,P-5142576e57,MC-40a23b067c0d,morning_peak_cross_city,focused_commuter,hesitant,custom,userlm,hesitant_caller,degraded_operator,small2-qwen2.5-1.5b,small,model_comparison,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,6,42,,,satisfied,True,agent_a_closed,True,True,31.0,46.0,31.0,0.0,3,3,4.0,0.0,13.0,543.05,"Bravo (T1 : Charlie) -> Delta (T6 : Juliett, Victor) -> Harbor","Bravo (T1 : Charlie) -> Delta (T6 : Juliett, Victor) -> Harbor",C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026\batch-c-mpcc-fc-hesit-pip-fwh-bhugg-defau-sml-i0-5142576e57-a-20260705-131756.jsonl
20260705_123702_b-n0026,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026,C-MPCC-FC-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-df1b4b45a4-T,completed,text_only,P-df1b4b45a4,MC-224635e1ba26,morning_peak_cross_city,focused_commuter,noisy_station,custom,userlm,high_clarity_caller,degraded_operator,small2-qwen2.5-1.5b,small,model_comparison,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,1,42,,,satisfied,True,agent_a_closed,True,True,31.0,46.0,31.0,0.0,3,3,4.0,0.0,11.0,388.48,"Bravo (T1 : Charlie) -> Delta (T6 : Juliett, Victor) -> Harbor","Bravo (T1 : Charlie) -> Delta (T6 : Juliett, Victor) -> Harbor",C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026\batch-c-mpcc-fc-ns-pip-fwh-bhugg-defau-sml-i0-df1b4b45a4-t-20260705-132910.jsonl
20260705_123702_b-n0026,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026,C-MPCC-FC-NS-PIP-FWH-BHUGG-DEFAU-SML-I0-df1b4b45a4-A,completed,audio_variant,P-df1b4b45a4,MC-50f4b38d223e,morning_peak_cross_city,focused_commuter,noisy_station,custom,userlm,high_clarity_caller,degraded_operator,small2-qwen2.5-1.5b,small,model_comparison,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,1,42,,,satisfied,True,agent_a_closed,True,True,31.0,46.0,31.0,0.0,3,3,4.0,0.0,11.0,543.86,"Bravo (T1 : Charlie) -> Delta (T6 : Juliett, Victor) -> Harbor","Bravo (T1 : Charlie) -> Delta (T6 : Juliett, Victor) -> Harbor",C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026\batch-c-mpcc-fc-ns-pip-fwh-bhugg-defau-sml-i0-df1b4b45a4-a-20260705-133746.jsonl
20260705_123702_b-n0026,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026,C-MT-DM-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-a6326b76fc-T,completed,text_only,P-a6326b76fc,MC-f01a5092b6a7,midday_transfer,distracted_multitasker,clean,custom,userlm,hesitant_caller,clear_operator,small2-qwen2.5-1.5b,small,model_comparison,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,6,29,,,satisfied,True,agent_a_closed,True,True,40.0,59.0,40.0,0.0,3,3,4.0,0.0,9.0,459.42,"Echo (T1) -> Delta (T6 : Papa, Victor) -> Birch (T1 : Aster) -> Zulu","Echo (T1) -> Delta (T6 : Papa, Victor) -> Birch (T1 : Aster) -> Zulu",C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026\batch-c-mt-dm-clean-pip-fwh-bhugg-defau-sml-i0-a6326b76fc-t-20260705-134907.jsonl
20260705_123702_b-n0026,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026,C-MT-DM-CLEAN-PIP-FWH-BHUGG-DEFAU-SML-I0-a6326b76fc-A,completed,audio_variant,P-a6326b76fc,MC-8dd243ba335e,midday_transfer,distracted_multitasker,clean,custom,userlm,hesitant_caller,clear_operator,small2-qwen2.5-1.5b,small,model_comparison,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,6,29,,,satisfied,True,agent_a_closed,True,True,40.0,59.0,40.0,0.0,3,3,4.0,0.0,9.0,580.99,"Echo (T1) -> Delta (T6 : Papa, Victor) -> Birch (T1 : Aster) -> Zulu","Echo (T1) -> Delta (T6 : Papa, Victor) -> Birch (T1 : Aster) -> Zulu",C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026\batch-c-mt-dm-clean-pip-fwh-bhugg-defau-sml-i0-a6326b76fc-a-20260705-135843.jsonl
20260705_123702_b-n0026,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026,C-MT-DM-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-05c07e7d2f-T,completed,text_only,P-05c07e7d2f,MC-5e1e7a00d888,midday_transfer,distracted_multitasker,hesitant,custom,userlm,high_clarity_caller,clear_operator,small2-qwen2.5-1.5b,small,model_comparison,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,1,42,,,satisfied,True,agent_a_closed,True,True,28.0,41.0,28.0,0.0,3,3,2.0,0.0,9.0,452.39,Echo (T1) -> India (M3) -> Aster (M1) -> Zulu,Echo (T1) -> India (M3) -> Aster (M1) -> Zulu,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026\batch-c-mt-dm-hesit-pip-fwh-bhugg-defau-sml-i0-05c07e7d2f-t-20260705-141035.jsonl
20260705_123702_b-n0026,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026,C-MT-DM-HESIT-PIP-FWH-BHUGG-DEFAU-SML-I0-05c07e7d2f-A,completed,audio_variant,P-05c07e7d2f,MC-783cb261f5aa,midday_transfer,distracted_multitasker,hesitant,custom,userlm,high_clarity_caller,clear_operator,small2-qwen2.5-1.5b,small,model_comparison,greedy,shortest_valid_route_with_constraints,0,piper,faster_whisper,1,42,,,satisfied,True,agent_a_closed,True,True,28.0,41.0,28.0,0.0,3,3,2.0,0.0,9.0,3197.0,Echo (T1) -> India (M3) -> Aster (M1) -> Zulu,Echo (T1) -> India (M3) -> Aster (M1) -> Zulu,C:\Users\sende\PycharmProjects\MiniLlama\results\agent_b\model_comparison\01-small-qwen2.5-1.5b\userlm\20260705_123702_b-n0026\batch-c-mt-dm-hesit-pip-fwh-bhugg-defau-sml-i0-05c07e7d2f-a-20260705-142012.jsonl
